Unnamed: 0,question,Intent
13,BaikÂ atau mungkin tidak baik. Aku nggak tahu pasti.,Menyatakan Perasaan Sedih dan Kehilangan
14,BaikÂ atau mungkin tidak terlalu baik. Aku juga nggak yakin.,Menyatakan Perasaan Sedih dan Kehilangan
15,BaikÂ atau mungkin nggak baik juga. Aku nggak tahu.,Menyatakan Perasaan Sedih dan Kehilangan
16,"Baik, KakÂ tapi jujur agak capek dan masih kepikiran banyak hal",Menyatakan Perasaan Sedih dan Kehilangan
17,"Baik, KakÂ ya walaupun masih kepikiran beberapa hal sih",Menyatakan Perasaan Sedih dan Kehilangan
18,"BaikÂ tapi sebenarnya masih sering merasa cemas sih, Kak.",Menyatakan Perasaan Sebelum Menghadapi Kejadian
19,"Baik, Kak. Aku memang penasaran sih, apakah yang aku lakukan untuk menghadapi masalahku selama ini sudah benar atau belum.",Menyatakan Perasaan Takut dan Kecemasan
20,"Baik, KakÂ walaupun masih agak canggung sih karena belum pernah konseling sebelumnya",Menyatakan Perasaan Takut dan Kecemasan
21,Aku tidak tahuÂ Aku merasa sangat lelah dan bingung dengan semuanya.,Menyatakan Perasaan Takut dan Kecemasan
22,"Halo Kak. Aku tidak tahu... Sejujurnya, aku merasa lebih buruk dibandingkan sesi sebelumnya.",Menyatakan Perasaan Takut dan Kecemasan
23,"Saya masih sering merasa tidak percaya diri dan masih mengalami konflik antara pikiran dan perasaan saya. Tapi, saya mencoba untuk lebih menyadari ketika pikiran buruk muncul.",Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Sebelum Menghadapi Kejadian
24,"Iya, saya masih merasa tertekan saat di rumah. Saya takut melakukan kesalahan karena ayah saya bisa marah dan memukul saya. Saya juga masih merasa canggung saat berbicara dengan teman-teman saya.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
25,"Terima kasih, Kak. Saya merasa ada banyak hal yang mengganggu pikiran saya. Saya bingung dengan hubungan saya dan juga merasa terbebani dengan kondisi keuangan keluarga saya.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
26,"Saya ingin membahas tentang hubungan saya dengan pacar dulu. Saya merasa bingung, karena kami sudah hampir tiga tahun bersama, tapi akhir-akhir ini rasanya berbeda.",Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Sebelum Menghadapi Kejadian
27,"Saya sering kali merasa tidak nyaman dengan hubungan ini. Setelah masuk kuliah, kami jarang bertemu karena kampus kami berbeda. Awalnya saya merasa kesal, tapi lama-lama saya juga mulai terbiasa sendiri. Saya sering menghindari komunikasi dengan dia, misalnya tidak membalas chat dan menjauh tanpa alasan yang jelas.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
28,"Dia sering bertanya kenapa saya menjauh, dan saya selalu meminta maaf. Dia biasanya bisa mengerti, tapi karena ini terjadi berkali-kali, akhirnya kami sering bertengkar. Sampai akhirnya bulan lalu dia bilang ingin break untuk introspeksi diri.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Marah dan Frustasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
29,"Iya, saya merasa lebih nyaman sendiri karena tidak ada tuntutan untuk selalu merespons seseorang. Tapi di sisi lain, saya merasa kehilangan. Saya juga merasa bersalah karena mungkin sikap saya yang membuat dia ingin break.",Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
30,"Sejak setahun terakhir, orang tua saya sering membicarakan masalah keuangan di depan saya. Saya jadi merasa terbebani dan berpikir bahwa saya hanya menambah masalah bagi keluarga.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Reaksi Terkejut dan Tidak Terduga
31,Saya sering merasa stres dan kurang fokus di kampus. Bahkan ada saat-saat di mana saya merasa ingin menyerah dan berpikir bahwa lebih baik saya tidak ada di dunia ini.,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Reaksi Terkejut dan Tidak Terduga; Mengisyaratkan Butuh Bantuan Profesional
32,"Terima kasih, Kak. Saya ingin membicarakan tentang kecemasan saya ketika harus berbicara di depan umum. Saya selalu merasa takut, tangan saya gemetar, dan sulit berkata-kata.",Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Sebelum Menghadapi Kejadian; Mengisyaratkan Gejala Fisik
33,"Saya sudah merasa seperti ini sejak lama, mungkin sejak SD. Saya pernah mengalami kejadian yang membuat saya malu saat kelas 3 SD, ketika saya berbicara dalam bahasa Jawa di depan guru dan teman-teman saya. Guru saya mengoreksi saya dan mengatakan bahwa kata yang saya gunakan memiliki arti yang berbeda dalam bahasa Indonesia.",Menyatakan Perasaan Percaya; Menyatakan Perasaan Marah dan Frustasi
34,"Saya merasa malu dan salah. Saya tahu guru saya tidak bermaksud jahat, tapi setelah itu, saya selalu takut berbicara di depan orang lain karena khawatir salah bicara lagi.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
35,"Saya merasa sangat gugup. Bahkan sebelum berbicara, saya sudah berpikir bahwa saya akan salah bicara dan orang-orang akan menertawakan saya. Ketika akhirnya saya berbicara, tangan saya gemetar dan saya tidak bisa berpikir jernih.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik
36,"Tentu, Kak.",Menyatakan Rasa Syukur dan Apresiasi
37,"Ya, saya sebenarnya paham, tapi saya takut salah bicara.",Menyatakan Perasaan Takut dan Kecemasan
38,Sebenarnya mereka biasa saja. Tidak ada yang mengejek atau mempermalukan saya.,Menyatakan Rasa Syukur dan Apresiasi
39,"Baik, Kak. Saya mengalami banyak hal sejak kecil, dan itu masih berdampak pada saya sampai sekarang.",Menyatakan Perasaan Sedih dan Kehilangan
40,"Saya mengalami perundungan sejak SD, SMP, hingga SMA. Saya sering dikucilkan, dihina secara verbal, bahkan mengalami kekerasan fisik. Waktu SD, saya pernah dipukul dengan batako dan mata saya dimasukkan pasir oleh teman-teman saya.",Menyatakan Perasaan Sedih dan Kehilangan
41,"Saya melapor ke orang tua saya, tapi mereka justru memarahi saya. Ayah saya memukul saya dengan selang dan berkata bahwa saya harus melawan, jangan jadi anak yang lemah.",Menyatakan Perasaan Marah dan Frustasi
42,"Saya merasa kecewa dan putus asa. Saya berpikir bahwa saya harus menghadapi semuanya sendirian. Sejak itu, saya tidak pernah lagi bercerita kepada orang tua saya.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
43,"Saya mulai berbicara dengan diri sendiri dan boneka kesayangan saya. Saya menganggap boneka itu sebagai teman saya. Lalu di SMP, saya mulai melihat sosok yang hanya saya yang bisa lihat dan ajak bicara.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Sebelum Menghadapi Kejadian
44,"Iya, sosok ini datang saat saya merasa sangat sendirian. Saya juga beberapa kali mencoba mengakhiri hidup, tapi saya masih bertahan sampai sekarang.",Menyatakan Perasaan Sedih dan Kehilangan
45,"Tidak sesering dulu, Kak. Tapi kadang-kadang saat saya sendirian atau di tempat ramai, sosok itu tiba-tiba muncul dan berbicara kepada saya.",Menyatakan Reaksi Terkejut dan Tidak Terduga
46,Tidak ada yang menakutkan. Kadang dia hanya mengajak saya berbicara atau menanyakan perasaan saya.,Menyatakan Perasaan Percaya
47,"Iya, saya memang sering mengalami masalah pencernaan sejak SMP. Saya pernah terkena TB usus, dan saya juga sering kambuh maag serta asam lambung. Terakhir kali kambuh saat ospek kemarin, mungkin karena kelelahan dan pola makan yang tidak teratur.",Menyatakan Perasaan Sedih dan Kehilangan
48,"Sudah, Kak. Saya tahu saya harus menjaga pola makan dan sudah beberapa kali berkonsultasi dengan dokter.",Menyatakan Perasaan Marah dan Frustasi
49,"Sebenarnya tidak terlalu mengganggu, tapi ada saat-saat di mana saya merasa sangat lelah dan sulit berkonsentrasi. Kadang saya khawatir apakah saya bisa bertahan dengan jadwal kuliah yang padat.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
50,Iya. Saya takut kalau nanti saya tidak bisa mengatur waktu dengan baik dan akhirnya ketinggalan tugas. Saya sering merasa cemas membandingkan diri saya dengan teman-teman yang terlihat lebih bisa mengatur semuanya dengan baik.,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Sebelum Menghadapi Kejadian
51,"Di rumah ada banyak konflik antara ayah dan ibu, terutama tentang peran mereka dalam keluarga. Ayah saya memiliki pola pikir yang sangat patriarkal, sementara ibu saya ingin lebih mandiri. Mereka sering bertengkar tentang hal itu.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Sebelum Menghadapi Kejadian
52,"Saya biasanya berusaha untuk tidak memperdulikan ayah dan lebih dekat dengan ibu. Saya sering keluar berdua dengan ibu, dan itu membuat saya merasa lebih tenang.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi
53,"Iya, saya merasa lebih bisa bercerita dengan ibu. Tapi saya juga merasa ada jarak dengan ayah, dan saya tidak tahu apakah itu baik atau buruk.",Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
54,"Baik, Kak. Saya sering merasa kehilangan kesadaran atau hampir pingsan ketika mendengar bentakan atau suara keras. Saya juga merasa sering menyalahkan diri sendiri dan sulit mengekspresikan emosi saya.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik
55,"Sejak kelas 12 SMA. Saat itu saya ikut pelatihan paskibra dan pelatihnya sering berteriak dengan nada tinggi. Saya mulai merasa pusing, jantung berdebar, hingga kehilangan keseimbangan.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik
56,"Mungkin karena sejak kecil saya sering mendapat tekanan dari orang tua saya. Mereka menuntut saya untuk selalu mengalah dan menjaga adik saya. Ibu saya perfeksionis, dan saya merasa harus selalu memenuhi harapan mereka.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
57,"Ibu saya selalu menuntut saya untuk menjadi yang terbaik, baik dalam hal akademik maupun sikap. Saya selalu diminta untuk menjaga adik saya, meskipun saya merasa adik saya sulit diatur. Kami sering bertengkar, tapi ibu selalu berpihak pada adik saya.",Menyatakan Perasaan Marah dan Frustasi
58,Saya biasanya hanya diam dan memendam perasaan saya. Saya tidak ingin marah karena takut dianggap anak yang durhaka.,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
59,"Saya masih merasa ada jarak, terutama dengan ibu saya. Saya ingin bisa berkomunikasi lebih baik, tapi saya juga takut jika saya menyampaikan perasaan saya, mereka akan marah.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
60,Saya pernah mengalami bullying saat SMA. Salah satu teman saya mengajak teman-teman lain untuk menjauhi saya karena saya dianggap 'cupu'. Saya tidak melawan atau melaporkan kejadian itu karena saya tidak ingin menambah masalah.,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
61,"Saya merasa sangat sendirian. Saya ingin berbicara dengan orang tua saya, tapi saya tahu mereka akan marah dan menganggap saya lemah.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
62,"Saya baik-baik saja, Kak. Tapi saya juga merasa cemas, terutama tentang tugas ospek yang harus diposting di media sosial.",Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
63,"Suara-suara itu mulai muncul lagi, terutama saat saya merasa diperhatikan. Saya juga masih merasa takut kalau suatu hari ada yang menghubungkan saya dengan foto yang pernah tersebar.",Menyatakan Perasaan Takut dan Kecemasan
64,"Beberapa hari lalu, ketika ada orang yang melihat saya dari kepala sampai kaki. Saya langsung merasa panik dan mendengar suara yang mengatakan 'kamu tidak layak dicintai'",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Takut dan Kecemasan
65,"Saya biasanya mengabaikannya, tapi ada saat di mana saya merasa perlu diperhatikan oleh orang lain, agar saya merasa lebih baik.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
66,"Ya, saya merasa tidak aman. Rasanya seperti semua orang akan menilai saya berdasarkan masa lalu saya.",Menyatakan Perasaan Takut dan Kecemasan
67,Itu mungkin bisa membantu. Saya akan mencobanya.,Menyatakan Perasaan Percaya
68,Teman saya mengatakan sesuatu yang menyebalkan tentang kejadian lama itu. Saya langsung marah dan mendorongnya.,Menyatakan Perasaan Marah dan Frustasi
69,"Saya merasa cukup cemas, Kak. Saya bingung dengan apa yang harus saya lakukan mengenai beasiswa saya yang sudah pasti akan dicabut.",Menyatakan Perasaan Sebelum Menghadapi Kejadian
70,"Saya sebenarnya bukan hanya bingung tentang beasiswa ini, Kak, tapi juga merasa bersalah. Saya belum memberi tahu ibu saya soal beasiswa yang akan dihentikan, dan saya takut mengecewakan beliau.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
71,"Ibu saya sangat bangga saya bisa kuliah di Maranatha, apalagi karena saya satu-satunya anak di keluarga yang bisa kuliah. Beliau sering membanggakan saya ke tetangga. Saya takut kalau saya memberitahu ibu, beliau akan kecewa atau sedih.",Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Takut dan Kecemasan
72,"YaÂ kalau saya terus menyembunyikannya, akhirnya ibu tetap akan tahu. Saya hanya tidak tahu bagaimana cara mengatakannya dengan baik.",Menyatakan Perasaan Takut dan Kecemasan
73,"Itu bisa jadi ide yang bagus, Kak. Kakak kedua saya yang membiayai kehidupan saya dan ibu, jadi mungkin saya bisa bicara dengannya dulu untuk mencari cara terbaik sebelum berbicara dengan ibu.",Menyatakan Perasaan Percaya
74,"Saya tidak tahu apakah itu mungkin, tapi saya ingin mencobanya. Saya ingin merasa bahwa saya sudah melakukan segalanya sebelum benar-benar berhenti kuliah.",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian
75,Saya berpikir untuk mencari pekerjaan dulu. Mungkin saya bisa bekerja dan menabung untuk kembali kuliah di kemudian hari.,Menyatakan Perasaan Sebelum Menghadapi Kejadian
76,"Sejak kecil saya merasa sulit berteman. Saya merasa teman-teman saya tidak pernah mengajak saya bermain. Bahkan saat kuliah, saya pernah memiliki teman saat orientasi mahasiswa baru, tapi mereka sepertinya tidak benar-benar menganggap saya bagian dari kelompok mereka. Mereka sering bermain bersama tanpa mengajak saya.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Reaksi Terkejut dan Tidak Terduga
77,"Sejak SD. Saya tidak punya teman. Lalu di SMP, saya menyukai seorang laki-laki, tapi dia malah mengatakan saya jelek dan gemuk. Di SMA, saya dijauhi oleh teman-teman tanpa alasan yang jelas. Saya pernah mencoba mendapatkan beasiswa ke Taiwan, tapi saat saya gagal, mereka justru tertawa dan mengatakan ingin 'meledakkan Taiwan'.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Marah dan Frustasi
78,"Mungkin yang di SMA... saya merasa benar-benar tidak diinginkan. Saya merasa tidak dihargai, dan itu membuat saya bertanya-tanya, 'Untuk apa saya hidup?'",Menyatakan Perasaan Sedih dan Kehilangan; Mengisyaratkan Butuh Bantuan Profesional
79,"Terima kasih, Kak",Menyatakan Perasaan Percaya
80,Mungkin... saya bisa mencoba.,Menyatakan Perasaan Percaya
81,"Jadi, saya punya seorang kakak laki-laki di gereja yang sudah saya anggap sebagai kakak sendiri. Kami sering bersama karena kami ada di kepanitiaan retreat yang sama. Saya selalu berusaha membantu dia, bahkan saat saya lelah atau waktu sudah malam. Tapi semua berubah sejak dia mengira saya ingin merebut pacarnya.",Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
82,"Saya hanya berbicara dengan pacarnya tentang perasaan saya yang merasa dimanfaatkan. Saya bilang kalau saya merasa seperti 'alat' yang membantu seseorang, tapi dia malah mengira saya mencoba mendekati pacarnya. Sejak itu, dia mulai menjauhi saya, mendiamkan saya di pertemuan, bahkan tidak menganggap saya ada di sana. Itu sangat menyakitkan karena saya tidak merasa melakukan kesalahan.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Reaksi Terkejut dan Tidak Terduga
83,"Saya awalnya bingung. Saya tidak tahu harus bagaimana. Tapi puncaknya adalah saat dia menelepon saya dan memarahi saya habis-habisan, menuduh saya selingkuh dengan pacarnya. Kata-katanya kasar, dan dia sama sekali tidak mau mendengar penjelasan saya.",Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
84,"Saya hanya diam. Saya takut kalau saya membela diri, dia akan semakin marah. Tapi setelah itu, saya merasa sangat kecewa dan sakit hati. Saya mulai menarik diri, bahkan saya tidak ingin berada di lantai yang sama dengannya saat ibadah.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Takut dan Kecemasan
85,Iya. Saya mulai sulit percaya pada orang lain. Saya tidak bisa bercerita kepada teman-teman di gereja karena saya takut mereka akan membicarakan saya di belakang. Saya juga jadi lebih mudah marah kalau ada orang yang bertanya-tanya soal keadaan saya.,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
86,"Ya. Saya merasa sulit untuk dekat dengan teman-teman di kampus. Saya takut jika saya terlalu terbuka, saya akan dikhianati lagi. Saya tidak ingin terlalu dekat dengan siapa pun sekarang.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan
87,"Tapi sulit untuk percaya lagi, Kak. Rasanya seperti lebih baik menjauh dari semua orang daripada harus dikhianati lagi.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
88,"Saya baru tahu bahwa teman saya, B, menyebarkan isi chat saya di grup HIMA. Di chat itu, saya pernah bilang kalau saya tidak ingin berteman dengan orang lain selain yang sudah dekat dengan saya. Saya tidak mengerti kenapa B melakukan itu. Saya merasa sedih, tapi saya tidak tahu bagaimana mengungkapkan perasaan saya.",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Reaksi Terkejut dan Tidak Terduga
89,"Saya tidak mengatakan apa-apa. Saya hanya diam dan berpura-pura tidak tahu. Saya pikir, lebih baik saya tidak membahasnya daripada memperkeruh keadaan.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Sebelum Menghadapi Kejadian
90,"Sejujurnya, saya merasa sedih dan sedikit marah. Tapi saya selalu berpikir bahwa menunjukkan emosi negatif itu tidak baik. Saya tidak ingin terlihat lemah di hadapan B.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
91,"Iya, saya merasa kalau saya menunjukkan bahwa saya marah atau sedih, maka saya akan terlihat kalah di mata B.",Menyatakan Perasaan Marah dan Frustasi
92,"Saya cukup senang karena nilai saya meningkat. IPK saya sekarang 3.06, dan beasiswa Teknik Nusantara saya masih berlanjut.",Menyatakan Rasa Syukur dan Apresiasi
93,"Sebenarnya ada. Saya kesulitan mengkomunikasikan keinginan saya kepada dosen wali saya. Saya ingin mengkontrak 22 SKS, tapi karena dosen wali saya bilang 'tidak perlu ambil banyak-banyak,' saya langsung diam dan hanya mengikuti saran beliau.",Menyatakan Perasaan Takut dan Kecemasan
94,"Saya merasa sedikit lega, tapi tetap ada perasaan aneh. Saya merasa baik-baik saja sekarang, tapi tidak tahu apakah ini hanya sementara atau akan kembali lagi nanti.",Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
95,Saya masih sering marah kalau ada orang yang menegur saya atau mengabaikan saya. Rasanya ingin membalas atau bahkan melukai mereka. Tapi saya sadar kalau itu berlebihan dan saya tidak ingin kelepasan.,Menyatakan Perasaan Marah dan Frustasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
96,"Tergantung. Biasanya kalau saya merasa tidak dihargai atau diabaikan, saya langsung kesal. Tapi akhir-akhir ini saya juga merasa lebih cepat marah kalau ada orang yang terlalu banyak bertanya atau ingin terlalu dekat dengan saya.",Menyatakan Perasaan Marah dan Frustasi
97,"Ada seorang teman saya, G. Dia sebenarnya baik, tapi akhir-akhir ini dia sering bertanya banyak hal dan ingin selalu bersama saya. Saya tidak suka dan merasa dia terlalu menempel.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Takut dan Kecemasan
98,"Iya, saya tidak suka rasanya. Tapi saya juga tidak ingin menyakiti perasaannya, jadi saya bingung harus bagaimana.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
99,"Iya, tapi tidak sesering sebelumnya. Kadang saya masih merasa dia mengawasi saya, terutama kalau saya akan ujian atau merasa stres. Saya juga kadang masih mencium bau melati atau darah, dan itu sangat mengganggu.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Takut dan Kecemasan
100,"Tidak selalu. Kadang dia muncul tanpa alasan, dan itu yang membuat saya takut.",Menyatakan Perasaan Takut dan Kecemasan
101,Tidak! Saya tidak mau ke psikiater,Menyatakan Perasaan Benci dan Jijik
102,"Tetap saja, saya tidak ingin orang tua saya tahu.",Menyatakan Perasaan Benci dan Jijik
103,"Baik, Kak.",Menyatakan Perasaan Percaya
104,"Iya, masih. Kadang muncul sebelum tidur atau saat saya merasa stres. Saya juga kadang masih mencium bau melati atau darah, tapi saya sudah mulai bisa mengabaikannya.",Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Takut dan Kecemasan
105,"Baiklah, saya akan coba menuliskannya",Menyatakan Perasaan Percaya
106,"Tidak banyak berubah, saya masih sering merasa tidak nyaman di rumah. Tapi saya lebih baik saat bersama ibu. Saya merasa lebih aman bersamanya dibandingkan dengan yang lain.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sedih dan Kehilangan
107,"Aku mencoba lebih membuka diri, mulai dari menyapa teman-teman lebih dulu. Rasanya agak canggung, tapi aku mencoba pelan-pelan.",Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan
108,"Sejujurnya, belum ada perubahan besar. Aku masih belum punya teman yang benar-benar dekat di kampus, tapi setidaknya aku tidak lagi merasa terlalu sendirian.",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sedih dan Kehilangan
109,"Masih sulit, Kak. Aku tetap merasa bahwa materi kedokteran tidak mudah untukku. Tapi aku mencoba untuk lebih rajin membaca dan mengerjakan tugas tepat waktu",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Sebelum Menghadapi Kejadian
110,"Baik, aku akan coba.",Menyatakan Perasaan Percaya
111,Aku masih sering berkomunikasi dengannya. Kami bertemu setiap liburan semester. Dia satu-satunya teman yang benar-benar mengerti aku.,Menyatakan Perasaan Percaya
112,"Sebenarnya, ada masalah baru, Kak. Ibuku baru saja tahu bahwa aku pernah berpacaran. Aku benar-benar takut dan cemas setelah beliau mengetahuinya.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Sebelum Menghadapi Kejadian
