Sampai akhirnya bulan lalu dia bilang ingin break untuk introspeksi diri.,,,,Dia sering bertanya kenapa saya menjauh,,"Dia biasanya bisa mengerti, tapi karena ini terjadi berkali-kali, akhirnya kami sering bertengkar. ",saya selalu meminta maaf,,,
,,"Iya, saya merasa lebih nyaman sendiri karena tidak ada tuntutan untuk selalu merespons seseorang. ","Tapi di sisi lain, saya merasa kehilangan.",,Saya juga merasa bersalah karena mungkin sikap saya yang membuat dia ingin break.,,,,,
,,,Saya jadi merasa terbebani dan berpikir bahwa saya hanya menambah masalah bagi keluarga.,"Sejak setahun terakhir, orang tua saya sering membicarakan masalah keuangan di depan saya. ",,,,,,
,,,Bahkan ada saat-saat di mana saya merasa ingin menyerah dan berpikir bahwa lebih baik saya tidak ada di dunia ini.,Saya sering merasa stres dan kurang fokus di kampus. ,,,,,,
,,,,,"Saya selalu merasa takut, tangan saya gemetar, dan sulit berkata-kata.",,Saya ingin membicarakan tentang kecemasan saya ketika harus berbicara di depan umum. ,,,
,"Saya sudah merasa seperti ini sejak lama, mungkin sejak SD. ",,,,,"Saya pernah mengalami kejadian yang membuat saya malu saat kelas 3 SD, ketika saya berbicara dalam bahasa Jawa di depan guru dan teman-teman saya. ",,,,
,,,,,,Guru saya mengoreksi saya dan mengatakan bahwa kata yang saya gunakan memiliki arti yang berbeda dalam bahasa Indonesia.,,,,
,,,Saya tahu guru saya tidak bermaksud jahat,,"tapi setelah itu, saya selalu takut berbicara di depan orang lain karena khawatir salah bicara lagi.",Saya merasa malu dan salah. ,,,,
,,,,,Saya merasa sangat gugup,,,,,
,,,,,"Bahkan sebelum berbicara, saya sudah berpikir bahwa saya akan salah bicara dan orang-orang akan menertawakan saya. ",,,,,
,,,,,"Ketika akhirnya saya berbicara, tangan saya gemetar dan saya tidak bisa berpikir jernih.",,,,,
,,"Ya, saya sebenarnya paham",,,,,,,,
,,,,,tapi saya takut salah bicara.,,,,,
,,Sebenarnya mereka biasa saja,,,,,,,,
,,Tidak ada yang mengejek atau mempermalukan saya.,,,,,,,,
,,,"Saya mengalami banyak hal sejak kecil, dan itu masih berdampak pada saya sampai sekarang.",,,,,,,
,,,"Saya mengalami perundungan sejak SD, SMP, hingga SMA. ",,,,,,,
,,,"Saya sering dikucilkan, dihina secara verbal, bahkan mengalami kekerasan fisik. ",,,,,,,
,,,"Waktu SD, saya pernah dipukul dengan batako dan mata saya dimasukkan pasir oleh teman-teman saya.",,,,,,,
,,,,,,"Saya melapor ke orang tua saya, tapi mereka justru memarahi saya. ",,,,
,,,,,,"Ayah saya memukul saya dengan selang dan berkata bahwa saya harus melawan, jangan jadi anak yang lemah.",,,,
"Sejak itu, saya tidak pernah lagi bercerita kepada orang tua saya.",,,Saya berpikir bahwa saya harus menghadapi semuanya sendirian. ,,Saya merasa kecewa dan putus asa.,,,,,
,,,Saya menganggap boneka itu sebagai teman saya. ,,,,Saya mulai berbicara dengan diri sendiri dan boneka kesayangan saya. ,,,
,,,"Lalu di SMP, saya mulai melihat sosok yang hanya saya yang bisa lihat dan ajak bicara.",,,,,,,
,,,"Saya juga beberapa kali mencoba mengakhiri hidup, tapi saya masih bertahan sampai sekarang.",,,,,,,
,,,,"Tapi kadang-kadang saat saya sendirian atau di tempat ramai, sosok itu tiba-tiba muncul dan berbicara kepada saya.",,,,,,
,Kadang dia hanya mengajak saya berbicara atau menanyakan perasaan saya.,,,,,,,,,
,,,"Iya, saya memang sering mengalami masalah pencernaan sejak SMP. ",,,,,,,
,,,"Saya pernah terkena TB usus, dan saya juga sering kambuh maag serta asam lambung. ",,,,,,,
,,,,,,"Sudah, Kak. Saya tahu saya harus menjaga pola makan dan sudah beberapa kali berkonsultasi dengan dokter.",,,,
,,,"Sebenarnya tidak terlalu mengganggu, tapi ada saat-saat di mana saya merasa sangat lelah dan sulit berkonsentrasi. ",,Kadang saya khawatir apakah saya bisa bertahan dengan jadwal kuliah yang padat.,,,,,
,,,,,Saya takut kalau nanti saya tidak bisa mengatur waktu dengan baik dan akhirnya ketinggalan tugas. ,,Saya sering merasa cemas membandingkan diri saya dengan teman-teman yang terlihat lebih bisa mengatur semuanya dengan baik.,,,
,,,"Di rumah ada banyak konflik antara ayah dan ibu, terutama tentang peran mereka dalam keluarga. ",,Mereka sering bertengkar tentang hal itu.,,"Ayah saya memiliki pola pikir yang sangat patriarkal, sementara ibu saya ingin lebih mandiri. ",,,
Saya biasanya berusaha untuk tidak memperdulikan ayah dan lebih dekat dengan ibu. ,,"Saya sering keluar berdua dengan ibu, dan itu membuat saya merasa lebih tenang.",,,,,,,,
,,"Iya, saya merasa lebih bisa bercerita dengan ibu. ",Tapi saya juga merasa ada jarak dengan ayah,saya tidak tahu apakah itu baik atau buruk.,,,,,,
Saya juga merasa sering menyalahkan diri sendiri dan sulit mengekspresikan emosi saya.,,,,,Saya sering merasa kehilangan kesadaran atau hampir pingsan ketika mendengar bentakan atau suara keras. ,,,,,
,,,,,Saat itu saya ikut pelatihan paskibra dan pelatihnya sering berteriak dengan nada tinggi. ,,,,,
,,,,,"Saya mulai merasa pusing, jantung berdebar, hingga kehilangan keseimbangan.",,,,,
,,,Mungkin karena sejak kecil saya sering mendapat tekanan dari orang tua saya. ,,,Mereka menuntut saya untuk selalu mengalah dan menjaga adik saya. ,,,,
,,,,,,"Ibu saya perfeksionis, dan saya merasa harus selalu memenuhi harapan mereka.",,,,
,,,,,,"Ibu saya selalu menuntut saya untuk menjadi yang terbaik, baik dalam hal akademik maupun sikap. ",,,,
,,,,,,"Saya selalu diminta untuk menjaga adik saya, meskipun saya merasa adik saya sulit diatur. ",,,,
,,,,,,"Kami sering bertengkar, tapi ibu selalu berpihak pada adik saya.",,,,
,,,Saya biasanya hanya diam dan memendam perasaan saya. ,,Saya tidak ingin marah karena takut dianggap anak yang durhaka.,,,,,
,,,"Saya masih merasa ada jarak, terutama dengan ibu saya. ",,"Saya ingin bisa berkomunikasi lebih baik, tapi saya juga takut jika saya menyampaikan perasaan saya, mereka akan marah.",,,,,
,,,Saya pernah mengalami bullying saat SMA. ,,Saya tidak melawan atau melaporkan kejadian itu karena saya tidak ingin menambah masalah.,Salah satu teman saya mengajak teman-teman lain untuk menjauhi saya karena saya dianggap 'cupu'. ,,,,
,,,Saya merasa sangat sendirian. ,,"Saya ingin berbicara dengan orang tua saya, tapi saya tahu mereka akan marah dan menganggap saya lemah.",,,,,
,,"Saya baik-baik saja, Kak. ",,,,,"Tapi saya juga merasa cemas, terutama tentang tugas ospek yang harus diposting di media sosial.",,,
,,,,,"Suara-suara itu mulai muncul lagi, terutama saat saya merasa diperhatikan. ",,,,,
,,,,,Saya juga masih merasa takut kalau suatu hari ada yang menghubungkan saya dengan foto yang pernah tersebar.,,,,,
mendengar suara yang mengatakan 'kamu tidak layak dicintai',,,,,"Beberapa hari lalu, ketika ada orang yang melihat saya dari kepala sampai kaki. ",,,,,
,,,,,Saya langsung merasa panik ,,,,,
"Saya biasanya mengabaikannya, ",,agar saya merasa lebih baik.,,,,,ada saat di mana saya merasa perlu diperhatikan oleh orang lain,,,
,,,,,"Ya, saya merasa tidak aman. ",,,,,
,,,,,Rasanya seperti semua orang akan menilai saya berdasarkan masa lalu saya.,,,,,
,Itu mungkin bisa membantu,,,,,,,,,
,Saya akan mencobanya.,,,,,,,,,
,,,,,,Teman saya mengatakan sesuatu yang menyebalkan tentang kejadian lama itu. ,,,,
,,,,,,Saya langsung marah dan mendorongnya.,,,,
,,,,,,,"Saya merasa cukup cemas, Kak. ",,,
,,,,,,,Saya bingung dengan apa yang harus saya lakukan mengenai beasiswa saya yang sudah pasti akan dicabut.,,,
tapi juga merasa bersalah. ,,,,"Saya sebenarnya bukan hanya bingung tentang beasiswa ini, Kak, ",,,,,,
,,Ibu saya sangat bangga saya bisa kuliah di Maranatha,,,"Saya takut kalau saya memberitahu ibu, beliau akan kecewa atau sedih.",,,,,
,,apalagi karena saya satu-satunya anak di keluarga yang bisa kuliah. ,,,Beliau sering membanggakan saya ke tetangga. ,,,,,
,,,,,Saya hanya tidak tahu bagaimana cara mengatakannya dengan baik.,,,,,
,,,,,"kalau saya terus menyembunyikannya, akhirnya ibu tetap akan tahu. ",,,,,
,"Itu bisa jadi ide yang bagus, Kak. ",,,,,,,,,
,"Kakak kedua saya yang membiayai kehidupan saya dan ibu, jadi mungkin saya bisa bicara dengannya dulu untuk mencari cara terbaik sebelum berbicara dengan ibu.",,,,,,,,,
,"Saya tidak tahu apakah itu mungkin, tapi saya ingin mencobanya. ",,,,,,Saya ingin merasa bahwa saya sudah melakukan segalanya sebelum benar-benar berhenti kuliah.,,,
,,,,,,,Saya berpikir untuk mencari pekerjaan dulu. ,,,
,,,,,,,Mungkin saya bisa bekerja dan menabung untuk kembali kuliah di kemudian hari.,,,
,,,Sejak kecil saya merasa sulit berteman. ,"Bahkan saat kuliah, saya pernah memiliki teman saat orientasi mahasiswa baru, tapi mereka sepertinya tidak benar-benar menganggap saya bagian dari kelompok mereka. ",,,,,,
,,,Saya merasa teman-teman saya tidak pernah mengajak saya bermain. ,Mereka sering bermain bersama tanpa mengajak saya.,,,,,,
,,,Sejak SD. Saya tidak punya teman. ,"Di SMA, saya dijauhi oleh teman-teman tanpa alasan yang jelas. ",,"Lalu di SMP, saya menyukai seorang laki-laki, tapi dia malah mengatakan saya jelek dan gemuk. ",,,,
,,,,,,"Saya pernah mencoba mendapatkan beasiswa ke Taiwan, tapi saat saya gagal, mereka justru tertawa dan mengatakan ingin 'meledakkan Taiwan'.",,,,
,,,"Saya merasa tidak dihargai, dan itu membuat saya bertanya-tanya, 'Untuk apa saya hidup?'",,,,,,,
,,,Mungkin yang di SMA... saya merasa benar-benar tidak diinginkan. ,,,,,,,
,"Terima kasih, Kak",,,,,,,,,
,Mungkin... saya bisa mencoba.,,,,,,,,,
,"Jadi, saya punya seorang kakak laki-laki di gereja yang sudah saya anggap sebagai kakak sendiri. ","Saya selalu berusaha membantu dia, bahkan saat saya lelah atau waktu sudah malam. ",,Tapi semua berubah sejak dia mengira saya ingin merebut pacarnya.,,,,,,
,Kami sering bersama karena kami ada di kepanitiaan retreat yang sama. ,,,,,,,,,
,,,Saya hanya berbicara dengan pacarnya tentang perasaan saya yang merasa dimanfaatkan. ,"Saya bilang kalau saya merasa seperti 'alat' yang membantu seseorang, tapi dia malah mengira saya mencoba mendekati pacarnya. ",,,,,,
,,,"Sejak itu, dia mulai menjauhi saya, mendiamkan saya di pertemuan, bahkan tidak menganggap saya ada di sana. ",,,,,,,
,,,,Saya awalnya bingung. ,"Tapi puncaknya adalah saat dia menelepon saya dan memarahi saya habis-habisan, menuduh saya selingkuh dengan pacarnya",,,,,
,,,,Saya tidak tahu harus bagaimana. ,"Kata-katanya kasar, dan dia sama sekali tidak mau mendengar penjelasan saya.",,,,,
Saya hanya diam. ,,,,,"Saya takut kalau saya membela diri, dia akan semakin marah. ",,,,,
"Tapi setelah itu, saya merasa sangat kecewa dan sakit hati. ",,,,,,,,,,
"Saya mulai menarik diri, bahkan saya tidak ingin berada di lantai yang sama dengannya saat ibadah.",,,,,,,,,,
,,,,,Iya. Saya mulai sulit percaya pada orang lain. ,Saya juga jadi lebih mudah marah kalau ada orang yang bertanya-tanya soal keadaan saya.,,,,
,,,,,Saya tidak bisa bercerita kepada teman-teman di gereja karena saya takut mereka akan membicarakan saya di belakang. ,,,,,
Saya tidak ingin terlalu dekat dengan siapa pun sekarang.,,,Ya. Saya merasa sulit untuk dekat dengan teman-teman di kampus. ,,"Saya takut jika saya terlalu terbuka, saya akan dikhianati lagi. ",,,,,
Rasanya seperti lebih baik menjauh dari semua orang daripada harus dikhianati lagi.,,,"Tapi sulit untuk percaya lagi, Kak. ",,,,,,,
,"Di chat itu, saya pernah bilang kalau saya tidak ingin berteman dengan orang lain selain yang sudah dekat dengan saya. ",,"Saya merasa sedih, tapi saya tidak tahu bagaimana mengungkapkan perasaan saya.","Saya baru tahu bahwa teman saya, B, menyebarkan isi chat saya di grup HIMA. ",,,,,,
,,,,Saya tidak mengerti kenapa B melakukan itu. ,,,,,,
Saya hanya diam dan berpura-pura tidak tahu. ,,,Saya tidak mengatakan apa-apa. ,,,,"Saya pikir, lebih baik saya tidak membahasnya daripada memperkeruh keadaan.",,,
Saya tidak ingin terlihat lemah di hadapan B.,,,"Sejujurnya, saya merasa sedih ",,,dan sedikit marah,Tapi saya selalu berpikir bahwa menunjukkan emosi negatif itu tidak baik. ,,,
,,,,,,"Iya, saya merasa kalau saya menunjukkan bahwa saya marah atau sedih, maka saya akan terlihat kalah di mata B.",,,,
,,Saya cukup senang karena nilai saya meningkat.,,,,,,,,
,,"IPK saya sekarang 3.06, dan beasiswa Teknik Nusantara saya masih berlanjut.",,,,,,,,
,,,,,Saya kesulitan mengkomunikasikan keinginan saya kepada dosen wali saya. ,,,,,
,,,,,"Saya ingin mengkontrak 22 SKS, tapi karena dosen wali saya bilang 'tidak perlu ambil banyak-banyak,' saya langsung diam dan hanya mengikuti saran beliau.",,,,,
,,Saya merasa sedikit lega,,tapi tetap ada perasaan aneh. ,,,,,,
,,"Saya merasa baik-baik saja sekarang, ",,tapi tidak tahu apakah ini hanya sementara atau akan kembali lagi nanti.,,,,,,
,,,,,,Saya masih sering marah kalau ada orang yang menegur saya atau mengabaikan saya. ,Tapi saya sadar kalau itu berlebihan dan saya tidak ingin kelepasan.,,,
,,,,,,Rasanya ingin membalas atau bahkan melukai mereka. ,,,,
,,,,,,"Biasanya kalau saya merasa tidak dihargai atau diabaikan, saya langsung kesal. ",,,,
,,,,,,Tapi akhir-akhir ini saya juga merasa lebih cepat marah kalau ada orang yang terlalu banyak bertanya atau ingin terlalu dekat dengan saya.,,,,
Saya tidak suka dan merasa dia terlalu menempel.,,,,,"Dia sebenarnya baik, tapi akhir-akhir ini dia sering bertanya banyak hal dan ingin selalu bersama saya. ",,,,,
saya tidak suka rasanya. ,,,,jadi saya bingung harus bagaimana.,,,Tapi saya juga tidak ingin menyakiti perasaannya,,,
itu sangat mengganggu.,,"Iya, tapi tidak sesering sebelumnya",,,"Kadang saya masih merasa dia mengawasi saya, terutama kalau saya akan ujian atau merasa stres. ",,,,,
,,,,,Saya juga kadang masih mencium bau melati atau darah,,,,,
,,,,,"Kadang dia muncul tanpa alasan, dan itu yang membuat saya takut.",,,,,
Tidak! Saya tidak mau ke psikiater,,,,,,,,,,
"Tetap saja, saya tidak ingin orang tua saya tahu.",,,,,,,,,,
,"Baik, Kak.",,,,,,,,,
,,tapi saya sudah mulai bisa mengabaikannya.,,,Kadang muncul sebelum tidur atau saat saya merasa stres,,,,,
,,,,,Saya juga kadang masih mencium bau melati atau darah,,,,,
,"Baiklah, saya akan coba menuliskannya",,,,,,,,,
dibandingkan dengan yang lain.,,Tapi saya lebih baik saat bersama ibu. ,"Tidak banyak berubah, saya masih sering merasa tidak nyaman di rumah. ",,,,,,,
,,Saya merasa lebih aman bersamanya ,,,,,,,,
,Aku mencoba lebih membuka diri,,,,Rasanya agak canggung,,,,,
,mulai dari menyapa teman-teman lebih dulu. ,,,,,,,,,
,tapi aku mencoba pelan-pelan.,,,,,,,,,
,tapi setidaknya aku tidak lagi merasa terlalu sendirian.,,"Sejujurnya, belum ada perubahan besar. ",,,,,,,
,,,Aku masih belum punya teman yang benar-benar dekat di kampus,,,,,,,
,,,"Masih sulit, Kak. ",,,,Tapi aku mencoba untuk lebih rajin membaca dan mengerjakan tugas tepat waktu,,,
,,,Aku tetap merasa bahwa materi kedokteran tidak mudah untukku. ,,,,,,,
,"Baik, aku akan coba.",,,,,,,,,
,Aku masih sering berkomunikasi dengannya. ,,,,,,,,,
,Kami bertemu setiap liburan semester,,,,,,,,,
,Dia satu-satunya teman yang benar-benar mengerti aku.,,,,,,,,,
,,,"Sebenarnya, ada masalah baru, Kak. ",Ibuku baru saja tahu bahwa aku pernah berpacaran. ,Aku benar-benar takut ,,dan cemas setelah beliau mengetahuinya.,,,
,,,"Saat beliau tahu, handphone dan tabletnya langsung disita. ",Bahkan semua chat dan percakapanku dengan mantan dibaca habis oleh ibuku. ,"Beberapa waktu lalu, aku sempat pacaran diam-diam, karena ibuku memang melarangku pacaran sejak SMA. ",Aku merasa benar-benar tidak punya ruang pribadi.,,,,
,Aku tahu ibuku ingin aku fokus kuliah,,tapi aku juga merasa seperti tidak bisa jadi diri sendiri. ,,Tapi aku juga takut. ,"Aku marah, Kak. ",,,,
,,,,,,Aku merasa terlalu dikekang.,,,,
"Tidak, Kak. ",,,,,"Aku takut kalau aku mencoba bicara, malah tambah dimarahi atau dilarang lebih banyak hal lagi",,,,,
,,,Tapi aku merasa seperti selalu salah di mata ibuku.,,Aku juga ingin bisa menghindari konflik. ,,,,,
,Itu masuk akal. ,,,,,,Aku tidak mau terus-menerus merasa putus asa,,,
,aku akan coba. ,,,,,,"Kak, ibuku menelepon. Aku harus angkat dulu…",,,
,,,,,,,,,,
,,,"Aku pusing banget, Kak. ",,Aku nggak tahu lagi harus gimana… ,,"Aku kuliah, magang, terus masih harus ngurus organisasi juga. ",,,
,,,Aku merasa kayak nggak punya waktu buat diri sendiri. ,,,,"Aku kepikiran buat keluar dari organisasi, tapi aku nggak yakin keputusan itu benar.",,,
,,,Iya… Awalnya aku nggak niat jadi ketua. ,Tapi tiba-tiba aku malah yang kepilih,,,,,,
,,,Nama aku cuma dicantumin biar ada pilihan lebih dari satu. ,,,,,,,
,Awalnya biasa aja,,"Tapi makin lama aku sadar kalau aku nggak punya cukup pengalaman, ",,,Katanya aku ketua yang nggak kerja.,Aku pikir bisa dijalanin. ,,,
,,,terus aku denger juga ada yang ngomongin aku di belakang. ,,,,,,,
,Iya… padahal aku udah berusaha sebisa mungkin. ,,Tapi tetap aja kayaknya aku kurang. ,,,,,,,
,,,Aku juga merasa alumni lebih mendukung kandidat lain waktu pemilihan dulu,,,,,,,
,,, jadi kayaknya mereka nggak suka aku dari awal,,,,,,,
,Awalnya aku pikir cuma perasaan,,tapi lama-lama ada yang bilang kalau mereka memang lebih suka kandidat yang lain,,,,,,,
,,,"Iya, Kak… Aku jadi kepikiran terus",,,padahal aku juga udah capek sama kuliah dan kerja magang,,,,
jadi aku nggak mau berhenti,,Magang itu sebenarnya lumayan membantu aku untuk biaya jajan,"Masalahnya, aku nggak bisa",,Tapi jadinya aku harus pintar bagi waktu,"Aku sering begadang, kurang tidur, bahkan pernah nggak tidur tiga hari.",,,,
,,,"jadi akhirnya ya udah, begadang terus.",,,"Ya, tugas banyak banget. ",Aku ngerasa nggak bisa ninggalin salah satu,,,
,,,,,,"Ada tugas kuliah, terus harus nyiapin laporan buat magang, dan ada rapat organisasi. ",,,,
,,,malah makin nggak ada yang mendukung aku.,,tapi aku takut. ,,Sering… Aku kepikiran keluar dari organisasi,,,
,,,,,"Takut dibilang gagal, takut kalau aku malah bikin repot orang lain kalau pergi sekarang, takut juga kalau aku benar-benar berhenti",,,,,
,,,Ayah aku… dia masuk penjara bulan ini karena kasus di kantornya,,,,,,,
,,,Itu juga bikin aku makin kepikiran.,,,,,,,
,,,"Iya, aku jadi ngerasa harus lebih mandiri",,,,Aku harus cari cara buat bertahan sendiri.,,,
,,,nggak bisa terus bergantung sama keluarga. ,,,,,,,
,,,,,,"Ada sih beberapa teman, tapi aku nggak mau kelihatan lemah.",,,,
,,,,,"Kalau ada yang lihat aku sebentar aja, aku langsung mikir… ‘apa mereka mikir aku aneh?  Apa mereka nggak suka aku?’ Pokoknya overthinking terus.",,Aku selalu kepikiran tentang apa yang orang lain pikirkan tentang aku. ,,,
,,,,,Mungkin saat aku sedang bersama teman-teman atau di tempat umum. ,,,,,
,,,,,"Aku sering merasa kalau mereka sedang menilai aku, terutama soal penampilan aku",,,,,
,Iya… aku tahu mungkin nggak semua orang benar-benar memperhatikan aku,,,,tapi aku tetap nggak bisa menghilangkan pikiran itu.,,,,,
,"Iya, soalnya temanku sering cerita tentang masalah orang lain ke aku. ",,,,"Jadi aku kepikiran, gimana kalau dia juga cerita tentang aku ke orang lain?",,,,,
,,,dia malah tersinggung dan jadi nggak mau temenan sama aku lagi.,,Belum… aku takut kalau aku ngomong,,,,,
,,,,,Iya… aku takut dibilang lebay atau nggak percaya sama dia.,,,,,
,,,"Iya… aku ngerasa gemuk, jadi aku pengen kurusan. ","Tapi kata orang-orang, aku sebenarnya nggak gemuk.",,,,,,
,,"Aku udah mulai diet, dan itu lumayan membantu aku ngerasa lebih baik.",,,,,Ya… aku pengen ngerasa lebih percaya diri. ,,,
,,,,,cuma kadang masih kepikiran aja.,,"Iya, Kak. Aku juga nggak mau terlalu ekstrim sih",,,
,,,Ya… aku sering nunda-nunda. ,,,,,,,
,,,Ujung-ujungnya aku harus begadang buat ngerjain tugas mendekati deadline.,,,,,,,
,,,sejak SMP. Aku nggak tahu kenapa,,,tapi rasanya aku nggak berguna dan lebih baik nggak ada saja.,Aku sudah mencoba beberapa kali,,,
,,,Dari dulu aku selalu merasa nggak cukup baik. ,Sepertinya karena aku merasa tidak dihargai. ,,,,,,
,,,"Aku selalu dibandingkan, selalu dimarahi, dan aku merasa nggak pernah dianggap….",,,,,,,
,,,,,Tapi suara-suara itu… mereka nggak berhenti. ,,,,,
,,,,,Aku dengar suara bapak-bapak atau kadang ibu-ibu yang menyuruh aku untuk mati.,,,,,
,"Iya, aku mau coba",,,,,,,,,
,,,"Aku masih ingat semuanya… kejadian waktu aku TK, SD, bahkan SMP. ",,"Aku merasa seharusnya aku bilang ke orang lain, tapi aku takut dimarahi",,,,,
,,,Aku takut. Aku merasa kotor. ,,,,,,,
,,,,,Tapi aku masih merasa takut… ,,,,,
,,,,,"aku masih ingat gang itu, aku masih ingat wajahnya. ",,,,,
,,,,,"Aku merasa kalau aku lewat tempat itu, aku seperti kembali ke masa itu.",,,,,
,,,Aku merasa apapun yang aku lakukan nggak pernah cukup. ,,,"Aku mau masuk arsitektur, tapi dilarang. ",,,,
,,,"Aku juara kelas, tapi dibandingin sama anak orang lain. ",,,Aku ngerasa nggak punya kendali atas hidupku sendiri.,,,,
,,,,,Iya… Aku nggak bisa bilang apa-apa ke mereka,,,,,
,,,,,karena mereka pasti bilang aku ‘kurang bersyukur’ atau aku ‘melawan’ kalau aku ngomong.,,,,,
,,,"Iya, aku merasa seperti nggak bisa mengikuti pelajaran dengan baik. ",,,,,,,
,,,"Aku sering nggak ngerti penjelasan dosen, terus akhirnya aku jadi malas untuk mendengarkan lebih lanjut. ",,,,,,,
,,,,,karena takut salah atau semakin dianggap bodoh,,,,,
,,,,,"Aku jadi ngerasa nggak pede buat jawab atau berpartisipasi, ",,,,,
,"Aku sebenarnya punya teman, tapi lebih dekat dengan yang beda jurusan. ",,"Aku nggak tahu kenapa, rasanya lebih nyaman ngobrol sama mereka daripada sama teman-teman di kelas sendiri.",,,,,,,
,"Tapi aku nggak pernah benar-benar melakukannya, karena aku tahu itu salah",,"Iya… biasanya kalau aku merasa tertekan atau capek banget, ",,,aku mulai kepikiran buat nyakitin diri sendiri. ,,,,
,,,,,"Iya… jadi misalnya aku lagi di tempat umum, tiba-tiba ada orang yang lihat aku, entah itu sengaja atau nggak… aku langsung kepikiran, 'Apa mereka tahu tentang aku? ",,,,,
,,,,,Apa mereka ngeh sama foto itu?'. ,,,,,
,,,,,"Terus aku mulai dengar suara di kepala aku bilang kalau aku nggak pantas hidup, kalau semua orang pasti bakal ngejek aku…",,,,,
,,,,,"Kadang aku coba buat nggak dengerin, tapi rasanya susah. ",tapi di dalam kepalaku rasanya berantakan banget,,,,
