Perasaan Benci dan Jijik,Perasaan Percaya,Rasa Syukur dan Apresiasi,Perasaan Sedih dan Kehilangan,Reaksi Terkejut dan Tidak Terduga,Perasaan Takut dan Kecemasan,Perasaan Marah dan Frustasi,Perasaan Sebelum Menghadapi Kejadian
,,Ibu saya sangat bangga saya bisa kuliah di Maranatha,,,"Saya takut kalau saya memberitahu ibu, beliau akan kecewa atau sedih.",,
,,apalagi karena saya satu-satunya anak di keluarga yang bisa kuliah. ,,,Beliau sering membanggakan saya ke tetangga. ,,
,,,,,Saya hanya tidak tahu bagaimana cara mengatakannya dengan baik.,,
,,,,,"kalau saya terus menyembunyikannya, akhirnya ibu tetap akan tahu. ",,
,"Itu bisa jadi ide yang bagus, Kak. ",,,,,,
,"Kakak kedua saya yang membiayai kehidupan saya dan ibu, jadi mungkin saya bisa bicara dengannya dulu untuk mencari cara terbaik sebelum berbicara dengan ibu.",,,,,,
,"Saya tidak tahu apakah itu mungkin, tapi saya ingin mencobanya. ",,,,,,Saya ingin merasa bahwa saya sudah melakukan segalanya sebelum benar-benar berhenti kuliah.
,,,,,,,Saya berpikir untuk mencari pekerjaan dulu. 
,,,,,,,Mungkin saya bisa bekerja dan menabung untuk kembali kuliah di kemudian hari.
,,,Sejak kecil saya merasa sulit berteman. ,"Bahkan saat kuliah, saya pernah memiliki teman saat orientasi mahasiswa baru, tapi mereka sepertinya tidak benar-benar menganggap saya bagian dari kelompok mereka. ",,,
,,,Saya merasa teman-teman saya tidak pernah mengajak saya bermain. ,Mereka sering bermain bersama tanpa mengajak saya.,,,
,,,Sejak SD. Saya tidak punya teman. ,"Di SMA, saya dijauhi oleh teman-teman tanpa alasan yang jelas. ",,"Lalu di SMP, saya menyukai seorang laki-laki, tapi dia malah mengatakan saya jelek dan gemuk. ",
,,,,,,"Saya pernah mencoba mendapatkan beasiswa ke Taiwan, tapi saat saya gagal, mereka justru tertawa dan mengatakan ingin 'meledakkan Taiwan'.",
,,,"Saya merasa tidak dihargai, dan itu membuat saya bertanya-tanya, 'Untuk apa saya hidup?'",,,,
,,,Mungkin yang di SMA... saya merasa benar-benar tidak diinginkan. ,,,,
,"Terima kasih, Kak",,,,,,
,Mungkin... saya bisa mencoba.,,,,,,
,"Jadi, saya punya seorang kakak laki-laki di gereja yang sudah saya anggap sebagai kakak sendiri. ","Saya selalu berusaha membantu dia, bahkan saat saya lelah atau waktu sudah malam. ",,Tapi semua berubah sejak dia mengira saya ingin merebut pacarnya.,,,
,Kami sering bersama karena kami ada di kepanitiaan retreat yang sama. ,,,,,,
,,,Saya hanya berbicara dengan pacarnya tentang perasaan saya yang merasa dimanfaatkan. ,"Saya bilang kalau saya merasa seperti 'alat' yang membantu seseorang, tapi dia malah mengira saya mencoba mendekati pacarnya. ",,,
,,,"Sejak itu, dia mulai menjauhi saya, mendiamkan saya di pertemuan, bahkan tidak menganggap saya ada di sana. ",,,,
,,,,Saya awalnya bingung. ,"Tapi puncaknya adalah saat dia menelepon saya dan memarahi saya habis-habisan, menuduh saya selingkuh dengan pacarnya",,
,,,,Saya tidak tahu harus bagaimana. ,"Kata-katanya kasar, dan dia sama sekali tidak mau mendengar penjelasan saya.",,
Saya hanya diam. ,,,,,"Saya takut kalau saya membela diri, dia akan semakin marah. ",,
"Tapi setelah itu, saya merasa sangat kecewa dan sakit hati. ",,,,,,,
"Saya mulai menarik diri, bahkan saya tidak ingin berada di lantai yang sama dengannya saat ibadah.",,,,,,,
,,,,,Iya. Saya mulai sulit percaya pada orang lain. ,Saya juga jadi lebih mudah marah kalau ada orang yang bertanya-tanya soal keadaan saya.,
,,,,,Saya tidak bisa bercerita kepada teman-teman di gereja karena saya takut mereka akan membicarakan saya di belakang. ,,
Saya tidak ingin terlalu dekat dengan siapa pun sekarang.,,,Ya. Saya merasa sulit untuk dekat dengan teman-teman di kampus. ,,"Saya takut jika saya terlalu terbuka, saya akan dikhianati lagi. ",,
Rasanya seperti lebih baik menjauh dari semua orang daripada harus dikhianati lagi.,,,"Tapi sulit untuk percaya lagi, Kak. ",,,,
,"Di chat itu, saya pernah bilang kalau saya tidak ingin berteman dengan orang lain selain yang sudah dekat dengan saya. ",,"Saya merasa sedih, tapi saya tidak tahu bagaimana mengungkapkan perasaan saya.","Saya baru tahu bahwa teman saya, B, menyebarkan isi chat saya di grup HIMA. ",,,
,,,,Saya tidak mengerti kenapa B melakukan itu. ,,,
Saya hanya diam dan berpura-pura tidak tahu. ,,,Saya tidak mengatakan apa-apa. ,,,,"Saya pikir, lebih baik saya tidak membahasnya daripada memperkeruh keadaan."
Saya tidak ingin terlihat lemah di hadapan B.,,,"Sejujurnya, saya merasa sedih ",,,dan sedikit marah,Tapi saya selalu berpikir bahwa menunjukkan emosi negatif itu tidak baik. 
,,,,,,"Iya, saya merasa kalau saya menunjukkan bahwa saya marah atau sedih, maka saya akan terlihat kalah di mata B.",
,,Saya cukup senang karena nilai saya meningkat.,,,,,
,,"IPK saya sekarang 3.06, dan beasiswa Teknik Nusantara saya masih berlanjut.",,,,,
,,,,,Saya kesulitan mengkomunikasikan keinginan saya kepada dosen wali saya. ,,
,,,,,"Saya ingin mengkontrak 22 SKS, tapi karena dosen wali saya bilang 'tidak perlu ambil banyak-banyak,' saya langsung diam dan hanya mengikuti saran beliau.",,
,,Saya merasa sedikit lega,,tapi tetap ada perasaan aneh. ,,,
,,"Saya merasa baik-baik saja sekarang, ",,tapi tidak tahu apakah ini hanya sementara atau akan kembali lagi nanti.,,,
,,,,,,Saya masih sering marah kalau ada orang yang menegur saya atau mengabaikan saya. ,Tapi saya sadar kalau itu berlebihan dan saya tidak ingin kelepasan.
,,,,,,Rasanya ingin membalas atau bahkan melukai mereka. ,
,,,,,,"Biasanya kalau saya merasa tidak dihargai atau diabaikan, saya langsung kesal. ",
,,,,,,Tapi akhir-akhir ini saya juga merasa lebih cepat marah kalau ada orang yang terlalu banyak bertanya atau ingin terlalu dekat dengan saya.,
Saya tidak suka dan merasa dia terlalu menempel.,,,,,"Dia sebenarnya baik, tapi akhir-akhir ini dia sering bertanya banyak hal dan ingin selalu bersama saya. ",,
saya tidak suka rasanya. ,,,,jadi saya bingung harus bagaimana.,,,Tapi saya juga tidak ingin menyakiti perasaannya
itu sangat mengganggu.,,"Iya, tapi tidak sesering sebelumnya",,,"Kadang saya masih merasa dia mengawasi saya, terutama kalau saya akan ujian atau merasa stres. ",,
,,,,,Saya juga kadang masih mencium bau melati atau darah,,
,,,,,"Kadang dia muncul tanpa alasan, dan itu yang membuat saya takut.",,
Tidak! Saya tidak mau ke psikiater,,,,,,,
"Tetap saja, saya tidak ingin orang tua saya tahu.",,,,,,,
,"Baik, Kak.",,,,,,
,,tapi saya sudah mulai bisa mengabaikannya.,,,Kadang muncul sebelum tidur atau saat saya merasa stres,,
,,,,,Saya juga kadang masih mencium bau melati atau darah,,
,"Baiklah, saya akan coba menuliskannya",,,,,,
dibandingkan dengan yang lain.,,Tapi saya lebih baik saat bersama ibu. ,"Tidak banyak berubah, saya masih sering merasa tidak nyaman di rumah. ",,,,
,,Saya merasa lebih aman bersamanya ,,,,,
,Aku mencoba lebih membuka diri,,,,Rasanya agak canggung,,
,mulai dari menyapa teman-teman lebih dulu. ,,,,,,
,tapi aku mencoba pelan-pelan.,,,,,,
,tapi setidaknya aku tidak lagi merasa terlalu sendirian.,,"Sejujurnya, belum ada perubahan besar. ",,,,
,,,Aku masih belum punya teman yang benar-benar dekat di kampus,,,,
,,,"Masih sulit, Kak. ",,,,Tapi aku mencoba untuk lebih rajin membaca dan mengerjakan tugas tepat waktu
,,,Aku tetap merasa bahwa materi kedokteran tidak mudah untukku. ,,,,
,"Baik, aku akan coba.",,,,,,
,Aku masih sering berkomunikasi dengannya. ,,,,,,
,Kami bertemu setiap liburan semester,,,,,,
,Dia satu-satunya teman yang benar-benar mengerti aku.,,,,,,
,,,"Sebenarnya, ada masalah baru, Kak. ",Ibuku baru saja tahu bahwa aku pernah berpacaran. ,Aku benar-benar takut ,,dan cemas setelah beliau mengetahuinya.
,,,"Saat beliau tahu, handphone dan tabletnya langsung disita. ",Bahkan semua chat dan percakapanku dengan mantan dibaca habis oleh ibuku. ,"Beberapa waktu lalu, aku sempat pacaran diam-diam, karena ibuku memang melarangku pacaran sejak SMA. ",Aku merasa benar-benar tidak punya ruang pribadi.,
,Aku tahu ibuku ingin aku fokus kuliah,,tapi aku juga merasa seperti tidak bisa jadi diri sendiri. ,,Tapi aku juga takut. ,"Aku marah, Kak. ",
,,,,,,Aku merasa terlalu dikekang.,
"Tidak, Kak. ",,,,,"Aku takut kalau aku mencoba bicara, malah tambah dimarahi atau dilarang lebih banyak hal lagi",,
,,,Tapi aku merasa seperti selalu salah di mata ibuku.,,Aku juga ingin bisa menghindari konflik. ,,
,Itu masuk akal. ,,,,,,Aku tidak mau terus-menerus merasa putus asa
,aku akan coba. ,,,,,,"Kak, ibuku menelepon. Aku harus angkat dulu…"
,,,"Aku pusing banget, Kak. ",,Aku nggak tahu lagi harus gimana… ,,"Aku kuliah, magang, terus masih harus ngurus organisasi juga. "
,,,Aku merasa kayak nggak punya waktu buat diri sendiri. ,,,,"Aku kepikiran buat keluar dari organisasi, tapi aku nggak yakin keputusan itu benar."
,,,Iya… Awalnya aku nggak niat jadi ketua. ,Tapi tiba-tiba aku malah yang kepilih,,,
,,,Nama aku cuma dicantumin biar ada pilihan lebih dari satu. ,,,,
,Awalnya biasa aja,,"Tapi makin lama aku sadar kalau aku nggak punya cukup pengalaman, ",,,Katanya aku ketua yang nggak kerja.,Aku pikir bisa dijalanin. 
,,,terus aku denger juga ada yang ngomongin aku di belakang. ,,,,
,Iya… padahal aku udah berusaha sebisa mungkin. ,,Tapi tetap aja kayaknya aku kurang. ,,,,
,,,Aku juga merasa alumni lebih mendukung kandidat lain waktu pemilihan dulu,,,,
,,, jadi kayaknya mereka nggak suka aku dari awal,,,,
,Awalnya aku pikir cuma perasaan,,tapi lama-lama ada yang bilang kalau mereka memang lebih suka kandidat yang lain,,,,
,,,"Iya, Kak… Aku jadi kepikiran terus",,,padahal aku juga udah capek sama kuliah dan kerja magang,
jadi aku nggak mau berhenti,,Magang itu sebenarnya lumayan membantu aku untuk biaya jajan,"Masalahnya, aku nggak bisa",,Tapi jadinya aku harus pintar bagi waktu,"Aku sering begadang, kurang tidur, bahkan pernah nggak tidur tiga hari.",
,,,"jadi akhirnya ya udah, begadang terus.",,,"Ya, tugas banyak banget. ",Aku ngerasa nggak bisa ninggalin salah satu
,,,,,,"Ada tugas kuliah, terus harus nyiapin laporan buat magang, dan ada rapat organisasi. ",
,,,malah makin nggak ada yang mendukung aku.,,tapi aku takut. ,,Sering… Aku kepikiran keluar dari organisasi
,,,,,"Takut dibilang gagal, takut kalau aku malah bikin repot orang lain kalau pergi sekarang, takut juga kalau aku benar-benar berhenti",,
,,,Ayah aku… dia masuk penjara bulan ini karena kasus di kantornya,,,,
,,,Itu juga bikin aku makin kepikiran.,,,,
,,,"Iya, aku jadi ngerasa harus lebih mandiri",,,,Aku harus cari cara buat bertahan sendiri.
,,,nggak bisa terus bergantung sama keluarga. ,,,,
,,,,,,"Ada sih beberapa teman, tapi aku nggak mau kelihatan lemah.",
,,,,,"Kalau ada yang lihat aku sebentar aja, aku langsung mikir… ‘apa mereka mikir aku aneh?  Apa mereka nggak suka aku?’ Pokoknya overthinking terus.",,Aku selalu kepikiran tentang apa yang orang lain pikirkan tentang aku. 
,,,,,Mungkin saat aku sedang bersama teman-teman atau di tempat umum. ,,
,,,,,"Aku sering merasa kalau mereka sedang menilai aku, terutama soal penampilan aku",,
,Iya… aku tahu mungkin nggak semua orang benar-benar memperhatikan aku,,,,tapi aku tetap nggak bisa menghilangkan pikiran itu.,,
,"Iya, soalnya temanku sering cerita tentang masalah orang lain ke aku. ",,,,"Jadi aku kepikiran, gimana kalau dia juga cerita tentang aku ke orang lain?",,
,,,dia malah tersinggung dan jadi nggak mau temenan sama aku lagi.,,Belum… aku takut kalau aku ngomong,,
,,,,,Iya… aku takut dibilang lebay atau nggak percaya sama dia.,,
,,,"Iya… aku ngerasa gemuk, jadi aku pengen kurusan. ","Tapi kata orang-orang, aku sebenarnya nggak gemuk.",,,
,,"Aku udah mulai diet, dan itu lumayan membantu aku ngerasa lebih baik.",,,,,Ya… aku pengen ngerasa lebih percaya diri. 
,,,,,cuma kadang masih kepikiran aja.,,"Iya, Kak. Aku juga nggak mau terlalu ekstrim sih"
,,,Ya… aku sering nunda-nunda. ,,,,
,,,Ujung-ujungnya aku harus begadang buat ngerjain tugas mendekati deadline.,,,,
,,,sejak SMP. Aku nggak tahu kenapa,,,tapi rasanya aku nggak berguna dan lebih baik nggak ada saja.,Aku sudah mencoba beberapa kali
,,,Dari dulu aku selalu merasa nggak cukup baik. ,Sepertinya karena aku merasa tidak dihargai. ,,,
,,,"Aku selalu dibandingkan, selalu dimarahi, dan aku merasa nggak pernah dianggap….",,,,
,,,,,Tapi suara-suara itu… mereka nggak berhenti. ,,
,,,,,Aku dengar suara bapak-bapak atau kadang ibu-ibu yang menyuruh aku untuk mati.,,
,"Iya, aku mau coba",,,,,,
,,,"Aku masih ingat semuanya… kejadian waktu aku TK, SD, bahkan SMP. ",,"Aku merasa seharusnya aku bilang ke orang lain, tapi aku takut dimarahi",,
,,,Aku takut. Aku merasa kotor. ,,,,
,,,,,Tapi aku masih merasa takut… ,,
,,,,,"aku masih ingat gang itu, aku masih ingat wajahnya. ",,
,,,,,"Aku merasa kalau aku lewat tempat itu, aku seperti kembali ke masa itu.",,
,,,Aku merasa apapun yang aku lakukan nggak pernah cukup. ,,,"Aku mau masuk arsitektur, tapi dilarang. ",
,,,"Aku juara kelas, tapi dibandingin sama anak orang lain. ",,,Aku ngerasa nggak punya kendali atas hidupku sendiri.,
,,,,,Iya… Aku nggak bisa bilang apa-apa ke mereka,,
,,,,,karena mereka pasti bilang aku ‘kurang bersyukur’ atau aku ‘melawan’ kalau aku ngomong.,,
,,,"Iya, aku merasa seperti nggak bisa mengikuti pelajaran dengan baik. ",,,,
,,,"Aku sering nggak ngerti penjelasan dosen, terus akhirnya aku jadi malas untuk mendengarkan lebih lanjut. ",,,,
,,,,,karena takut salah atau semakin dianggap bodoh,,
,,,,,"Aku jadi ngerasa nggak pede buat jawab atau berpartisipasi, ",,
,"Aku sebenarnya punya teman, tapi lebih dekat dengan yang beda jurusan. ",,"Aku nggak tahu kenapa, rasanya lebih nyaman ngobrol sama mereka daripada sama teman-teman di kelas sendiri.",,,,
,"Tapi aku nggak pernah benar-benar melakukannya, karena aku tahu itu salah",,"Iya… biasanya kalau aku merasa tertekan atau capek banget, ",,,aku mulai kepikiran buat nyakitin diri sendiri. ,
,,,,,"Iya… jadi misalnya aku lagi di tempat umum, tiba-tiba ada orang yang lihat aku, entah itu sengaja atau nggak… aku langsung kepikiran, 'Apa mereka tahu tentang aku? ",,
,,,,,Apa mereka ngeh sama foto itu?'. ,,
,,,,,"Terus aku mulai dengar suara di kepala aku bilang kalau aku nggak pantas hidup, kalau semua orang pasti bakal ngejek aku…",,
,,,,,"Kadang aku coba buat nggak dengerin, tapi rasanya susah. ",tapi di dalam kepalaku rasanya berantakan banget,
,,,,,"Aku jadi panik, jantungku berdetak cepat, tanganku dingin, dan aku cuma mau cepat-cepat pergi. ",,
,,,,,"Kadang aku juga cuma bisa diam, nggak bisa bergerak, ",,
,,,,,Iya… aku takut kalau videonya viral terus ada yang ngeh sama aku. ,,
,,,,,"Aku takut ada yang ngomongin aku lagi, bilang kalau aku mirip sama foto itu… ",,
,,,,,aku nggak mau orang-orang tahu masa laluku,,
,,,,,Sudah… tapi aku belum berani upload. Sudah… tapi aku belum berani upload. ,,
,,,,,Aku takut.,,
,Mungkin karena cowok lebih nggak ribet? , tapi sekarang malah lebih nyaman dengan mereka.,,Aku juga nggak tahu. ,Tapi… aku juga kadang merasa aneh sendiri karena dulu aku trauma,,
,Mereka nggak banyak basa-basi. ,,,,,,
,,,"Aku tuh akhir-akhir ini merasa lelah banget, Kak. ",,Aku juga mulai mengalami panic attack,,
,,,"Aku ikut banyak kegiatan di UKM, dan itu membuat aku susah fokus di kuliah. ",,kayak… aku nggak bisa ngontrol semuanya.,,
,,Tapi sebenarnya aku juga suka kegiatan-kegiatan itu. ,"Masalahnya, aku terlalu banyak mengambil tanggung jawab. ",,,,"Aku ikut UKM karena syarat beasiswa, Kak"
