question,Intent
Aku merasa tidak berharga karena aku gak bisa lulus dengan nilai bagus,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku sangat kecewa karena teman aku tidak mendukung keputusanku,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku sedih dan kehilangan harapan karena aku gak bisa masuk universitas,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku merasa duka karena aku kehilangan kepercayaan diri setelah gagal,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku sangat kesal karena aku harus menunda ujian karena sakit,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku sangat kesepian karena aku harus hidup sendirian di kota baru,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku merasa tidak sabar menunggu hari kerja setelah lulus kuliah,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku sangat sedih karena aku gak bisa menemukan teman baru,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku merasa kehilangan arah karena tidak tahu apa yang aku inginkan,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku sangat jengkel karena aku harus mengerjakan tugas yang sulit,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku sedih dan putus asa karena aku gak bisa menemukan kunci jawaban soal,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku sangat kecewa karena aku gagal dalam mengejar impian,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku merasa tidak berharga karena aku gak bisa lulus kuliah dengan nilai bagus,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku sangat kesal karena aku harus menerima uang pinjaman yang besar,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku sedih dan kehilangan harapan karena aku gak bisa melanjutkan kuliah,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku sangat kesepian karena aku harus hidup sendirian di rumah,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku merasa tidak sabar menunggu hari liburan yang panjang,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku sangat jengkel karena aku harus mengerjakan tugas yang berulang-ulang,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku sedih dan putus asa karena aku gak bisa menemukan pekerjaan yang cocok,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku sangat kecewa karena aku gagal dalam mengejar impian kuliah,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku sangat kesal karena aku harus menerima umpan balik buruk dari guru,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku sedih dan putus asa karena aku gak bisa menemukan teman baru,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku sedih dan kehilangan harapan karena aku gak bisa menerima diri sendiri,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
"Tapi gue malah cemas kalau gue nggak bisa lulus nanti, sih.",Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
"Gue kaget banget ketika tahu ada ujian mendadak hari ini, tuh.",Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
Aku takut nggak bisa masuk kuliah nanti kalau nilai gue lagi jelek gitu.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
"Aku bingung sih, gimana caranya menghadapi kehidupan ini sendirian.",Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
Gue merasa terancam karena gue nggak punya hobi sama sekali.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
"Gue gugup banget ketika harus berbicara di depan kelas, sih.",Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
Gue khawatir kalau gue nggak bisa menemukan pekerjaan yang sesuai setelah lulus kuliah.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
"Siapa tahu, mungkin aku akan kehilangan teman-teman aku karena pindah ke lain kota.",Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
Aku sedih banget karena gue nggak bisa berkomunikasi dengan teman-teman gue.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
Gue kaget ketika mendengar kabar bahwa salah satu guru gue sakit parah.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
Aku cemas tentang masa depan gue jika gue nggak menemukan tujuan yang jelas.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
"Gue merasa terancam karena gue nggak punya hobi sama sekali, sih.",Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
Gue khawatir kalau gue nggak bisa menyelesaikan skripsi dengan baik.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
"Aku gugup banget ketika harus menghadapi ujian skripsi, tuh.",Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
"Aku bingung sih, gimana caranya meningkatkan kemampuan gue dalam bidang akademik.",Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
Gue kaget banget ketika tahu bahwa gue harus menghadapi proyek akhir yang rumit.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
"Gue takut nggak bisa menyelesaikan proyek gue dengan baik, sih.",Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
Aku merasa terancam karena gue nggak punya banyak teman di kampus.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
Gue cemas tentang keuangan gue jika gue nggak bisa menemukan pekerjaan yang stabil.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
"Aku gugup banget ketika harus menghadapi wawancara pekerjaan, tuh.",Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
"Aku bingung sih, gimana caranya meningkatkan kemampuan gue dalam berbicara di depan umum.",Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
Gue kaget ketika mendengar kabar bahwa salah satu sahabat gue akan pindah ke luar negeri.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
Aku takut nggak bisa menemukan teman-teman yang tepat dan mendukung sih.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
Aku merasa terancam karena gue nggak punya banyak pengalaman kerja.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
Gue cemas tentang masa depan gue jika gue nggak menemukan tujuan yang jelas dan menentang.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
"Aku gugup banget ketika harus menghadapi tantangan baru, tuh.",Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
Gue kaget ketika tahu bahwa gue harus menghadapi persaingan yang sangat ketat.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
Aku merasa terancam karena gue nggak punya banyak sumber daya untuk mencapai tujuan gue.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
Gue cemas tentang keamanan gue jika gue nggak bisa melindungi diri sendiri.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
"Aku gugup banget ketika harus menghadapi situasi yang tidak diinginkan, tuh.",Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
"Aku bingung sih, gimana caranya meningkatkan kemampuan gue dalam menghadapi kesulitan.",Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
Gue kaget ketika mendengar kabar bahwa salah satu guru gue akan pensiun.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
Aku sangat berterima kasih karena kamu mau mengerti saya dan membantu aku mencari jalan keluar dari masalah ini,Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi
Aku merasa lega karena bisa berbicara tentang rasa aku dengan kamu,Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi
Aku benar-benar percaya bahwa kita bisa menemukan solusi ini,Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi
"Aku sangat berterima kasih atas saran dan bantuannya, aku merasa jauh lebih baik sekarang",Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi
Aku merasa terbuka untuk mengikuti proses konseling ini dan mencari tahu apa yang salah,Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi
Aku sangat berharap bisa mendapatkan bantuan dan dukungan dari kamu,Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi
Aku rasa aku bisa lebih percaya diri setelah berbicara dengan kamu,Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi
"Aku sangat berterima kasih atas kepercayaannya, aku merasa lebih lega",Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi
Aku mau mencoba saran kamu dan lihat apa yang terjadi,Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi
Aku rasa aku sudah lebih baik sekarang karena kamu mau membantu aku,Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi
Aku sangat percaya diri karena kamu mau mendengarkan aku,Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi
"Aku benar-benar berterima kasih atas bantuannya, aku merasa lebih baik",Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi
Aku merasa sangat terbuka dan percaya diri setelah berbicara dengan kamu,Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi
"Aku ingin berterima kasih atas saran dan bantuannya, aku merasa lebih lega",Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi
Aku mau mengikuti proses konseling ini dan mencari tahu apa yang salah,Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi
Aku rasa aku bisa lebih percaya diri setelah mendengarkan saran kamu,Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi
"Aku nggak bisa lagi ngomong sama dia, sih, karena aku jadi muak banget sama dia yang selalu ngomong-ngomong tanpa peduli tentang aku.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku malah jadi sedih sendiri kalau harus ngomong sama dia lagi.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
"Dia selalu ngomong hal-hal yang tidak masuk akal, aku jadi duka banget mendengarnya.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku tidak bisa lagi pergi ke tempat itu karena aku ngerasa tidak berharga setelah apa-apa yang terjadi.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku nggak bisa ngomong sama dia yang selalu menyesali aku dan membuat aku jadi kesepian.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
"Karena dia orangnya malas dan tidak mau belajar, aku malah jadi sedih karena harus memikul semua tugas sendirian.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku tidak suka lagi ngomong sama dia yang selalu mengganggu aku saat aku lagi study.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku malah jadi muak banget dengan gaya berpakaian dia yang tidak sopan.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku tidak mau lagi ngomong sama dia yang selalu berselisih dengan aku tentang hal-hal yang sama-sama tidak penting.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
"Aku merasa sedih dan kehilangan kenalan yang aku kira baik, tapi ternyata dia sebenarnya tidak pernah peduli tentang aku.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku nggak bisa lagi ngomong sama dia yang selalu mengancam aku untuk membuat aku takut dan kucel.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku malah jadi lebih sedih karena aku tidak bisa berbicara bebas dengan orang yang aku kira bisa dipercaya.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
"Dia ngomong terlalu banyak tapi tidak pernah mendengarkan aku, aku jadi muak banget dengan dia seperti itu.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku tidak mau lagi ngomong sama dia yang selalu mengatakan hal-hal yang tidak benar tentangku.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku merasa duka banget karena temanku yang aku kira baik malah menjadi musuhku.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku nggak bisa ngomong sama dia yang selalu membandel dan tidak peduli tentang perasaanku.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku jadi lebih sedih karena aku harus sendirian di rumah sementara teman-temanku liburan.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku muak banget dengan sifat dia yang kasar dan tidak sopan.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku tidak mau lagi belajar secara bersama-sama dengan dia karena aku merasa tidak nyaman dengan gaya belajarnya.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku malah jadi lebih kesepian karena aku tidak bisa bertemu dengan teman-temanku seperti biasanya.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku nggak bisa ngomong sama dia yang selalu mengatakan hal-hal yang tidak masuk akal tentang kehidupan aku.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku merasa muak banget dengan perilaku dia yang tidak jujur dan tidak peduli tentang apa yang aku rasakan.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku nggak bisa lagi ngomong sama dia yang selalu mengejek aku di depan teman-temanku.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku malah jadi lebih sedih karena aku tidak bisa pergi ke acara yang aku kira bakal asyik.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
"Aku ngomong dengan temanku tentang apa yang terjadi, tapi dia malah jadi penasaran dan membuat aku jadi muak.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku tidak mau lagi pergi ke tempat itu karena aku merasa tidak nyaman dan jijik sama tempat itu.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku merasa sedih dan kehilangan kenalan yang aku kira baik karena dia malah menjadi lawanmu.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
"Dia ngomong sangat keras, aku jadi muak banget dengan gaya bicaranya.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku nggak bisa lagi ngomong sama dia yang selalu mengatakan hal-hal yang tidak benar tentang aku sendiri.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku merasa duka banget karena aku harus belajar sendirian sementara teman-temanku liburan.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
Aku nggak bisa ngomong sama dia yang selalu berbohong dan tidak peduli tentang apa yang aku rasakan.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sedih dan Kehilangan
"Aku jengkel banget kalau temen-temen nggak nyampe, aku selalu khawatir kalau mereka ada masalah gitu",Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku merasa terancam kalau aku tidak bisa lulus semester ini sih,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku sangat tidak sabar untuk tahu apa yang aku harus lakukan untuk menyelesaikan proyek ini,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku cemas banget kalau aku tidak bisa mencetak cetak biru yang rapi,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku jadi panik ketika aku salah jawab soal dalam ujian,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku merasa sangat gugup kalau harus berbicara di depan kelas,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku tidak nyaman kalau harus menemui dosen karena aku khawatir dia akan menganugerahkan nilai jelek,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku merasa sangat merasa terancam jika aku tidak bisa menyelesaikan tugas ini,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku jengkel banget karena teman-teman nggak ada yang mau bantu aku,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku sangat tidak sabar untuk menyelesaikan proyek ini,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku cemas banget kalau aku lulus atau tidak,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku merasa sangat gugup ketika aku harus melakukan presentasi di depan kelas,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku khawatir kalau aku tidak bisa membuat laporan yang rapi,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku jadi panik ketika aku salah jawab pertanyaan dosen,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku merasa sangat tidak nyaman kalau harus berbicara di depan orang banyak,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku jengkel banget karena pengumuman nilai nggak keluar,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku sangat tidak sabar untuk mengetahui hasil nilai aku,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku cemas banget kalau aku tidak bisa menyelesaikan tugas kuliah,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku merasa sangat gugup ketika aku harus menghadapi ujian akhir,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku khawatir kalau aku tidak bisa menyelesaikan proyek kelompok,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku merasa sangat tidak nyaman kalau harus menemui orang tua,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku sangat merasa terancam jika aku tidak bisa menyelesaikan kuliah,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku jengkel banget karena aku tidak bisa menemukan sumber daya yang cukup,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku cemas banget kalau aku tidak bisa membuat laporan yang baik,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku khawatir kalau aku tidak bisa menyelesaikan ujian dengan nilai yang bagus,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku sangat merasa terancam jika aku tidak bisa menyelesaikan kuliah dalam waktu yang ditentukan,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku cemas banget kalau aku tidak bisa menyelesaikan proyek kelompok,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
Aku khawatir kalau aku tidak bisa menyelesaikan kuliah dengan nilai yang baik,Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
"Kamu itu nggak bisa dipercaya sih, kalau kamu bilang kamu bisa menyelesaikan tugasnya tepat waktu.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
"Kamu kayak gak ada malu, ngajak aku makan di warung itu, tempatnya kayak gitu jijik, kelas!",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
"Aku enggan membantu kamu lagi, kamu selalu nggak jujur, ngaku nggak tahu.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
"Aku kaget banget, kamu nggak bisa menyelesaikan tugasnya sendiri, aku harus melakukannya untuk kamu.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
"Kita kayak gak pernah bertemu sebelumnya, tapi kamu sudah mengenal aku banget, kayak gitu.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
"Aku muak banget, kamu selalu bicara tentang diri sendiri, nggak peduli apa yang aku katakan.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
"Kamu kayak nggak punya rasa malu, bilang kamu bisa melihat aku melalui jendela, tapi aku sendiri yang tidak bisa.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
"Kamu kayak gak pernah belajar, nggak bisa menyelesaikan soal sederhana.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
"Kita kayak gak bisa menjadi teman, aku selalu mengatakan hal yang tepat, tapi kamu tidak mau mendengarkan.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
"Kamu kayak gak punya rasa peduli, nggak tahu aku sedang merasa sakit.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
"Kamu kayak nggak punya rasa syukur, selalu mengeluh tentang kehidupan.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
"Aku benci banget, kamu selalu mengganggu aku ketika aku sedang berfokus.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
"Aku enggan pergi ke tempat yang kamu sarankan, kamu kayak gak pernah pergi ke sana.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
"Aku kaget banget, kamu bilang kamu bisa membuat keputusan besar tanpa pertimbangan.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
"Kita kayak gak pernah memiliki kepentingan yang sama, kamu selalu melakukan hal yang berlawanan dengan aku.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
"Aku muak banget, kamu selalu meminta bantuan, tapi tidak pernah mengucapkan terima kasih.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
"Kamu kayak nggak punya rasa hormat, mengatakan aku adalah orang terakhir dalam prioritas kamu.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
"Kita kayak gak pernah memiliki kepercayaan yang sama, kamu tidak pernah bisa mengerti aku.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
"Aku benci banget, kamu selalu mengatakan bahwa aku salah, tapi kamu sendiri yang salah.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
"Aku kaget banget, kamu bilang kamu bisa menyelesaikan pekerjaan yang sulit tanpa bantuan.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
"Kita kayak gak bisa menjadi keluarga, kamu selalu melakukan hal yang membuat aku kecewa.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
"Aku muak banget, kamu selalu mengeluh tentang kehidupan, tanpa pernah mencoba memperbaikinya.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga
