,context/intent,question
34,pembahasan,"Saya sudah merasa seperti ini sejak lama, mungkin sejak SD. Saya pernah mengalami kejadian yang membuat saya malu saat kelas 3 SD, ketika saya berbicara dalam bahasa Jawa di depan guru dan teman-teman saya. Guru saya mengoreksi saya dan mengatakan bahwa kata yang saya gunakan memiliki arti yang berbeda dalam bahasa Indonesia."
35,pembahasan,"Saya merasa malu dan salah. Saya tahu guru saya tidak bermaksud jahat, tapi setelah itu, saya selalu takut berbicara di depan orang lain karena khawatir salah bicara lagi."
36,pembahasan,"Saya merasa sangat gugup. Bahkan sebelum berbicara, saya sudah berpikir bahwa saya akan salah bicara dan orang-orang akan menertawakan saya. Ketika akhirnya saya berbicara, tangan saya gemetar dan saya tidak bisa berpikir jernih."
37,pembahasan,"Tentu, Kak."
38,pembahasan,"Ya, saya sebenarnya paham, tapi saya takut salah bicara."
39,pembahasan,Sebenarnya mereka biasa saja. Tidak ada yang mengejek atau mempermalukan saya.
40,pembahasan,"Baik, Kak. Saya mengalami banyak hal sejak kecil, dan itu masih berdampak pada saya sampai sekarang."
41,pembahasan,"Saya mengalami perundungan sejak SD, SMP, hingga SMA. Saya sering dikucilkan, dihina secara verbal, bahkan mengalami kekerasan fisik. Waktu SD, saya pernah dipukul dengan batako dan mata saya dimasukkan pasir oleh teman-teman saya."
42,pembahasan,"Saya melapor ke orang tua saya, tapi mereka justru memarahi saya. Ayah saya memukul saya dengan selang dan berkata bahwa saya harus melawan, jangan jadi anak yang lemah."
43,pembahasan,"Saya merasa kecewa dan putus asa. Saya berpikir bahwa saya harus menghadapi semuanya sendirian. Sejak itu, saya tidak pernah lagi bercerita kepada orang tua saya."
44,pembahasan,"Saya mulai berbicara dengan diri sendiri dan boneka kesayangan saya. Saya menganggap boneka itu sebagai teman saya. Lalu di SMP, saya mulai melihat sosok yang hanya saya yang bisa lihat dan ajak bicara."
45,pembahasan,"Iya, sosok ini datang saat saya merasa sangat sendirian. Saya juga beberapa kali mencoba mengakhiri hidup, tapi saya masih bertahan sampai sekarang."
46,pembahasan,"Tidak sesering dulu, Kak. Tapi kadang-kadang saat saya sendirian atau di tempat ramai, sosok itu tiba-tiba muncul dan berbicara kepada saya."
47,pembahasan,Tidak ada yang menakutkan. Kadang dia hanya mengajak saya berbicara atau menanyakan perasaan saya.
48,pembahasan,"Iya, saya memang sering mengalami masalah pencernaan sejak SMP. Saya pernah terkena TB usus, dan saya juga sering kambuh maag serta asam lambung. Terakhir kali kambuh saat ospek kemarin, mungkin karena kelelahan dan pola makan yang tidak teratur."
49,pembahasan,"Sudah, Kak. Saya tahu saya harus menjaga pola makan dan sudah beberapa kali berkonsultasi dengan dokter."
50,pembahasan,"Sebenarnya tidak terlalu mengganggu, tapi ada saat-saat di mana saya merasa sangat lelah dan sulit berkonsentrasi. Kadang saya khawatir apakah saya bisa bertahan dengan jadwal kuliah yang padat."
51,pembahasan,Iya. Saya takut kalau nanti saya tidak bisa mengatur waktu dengan baik dan akhirnya ketinggalan tugas. Saya sering merasa cemas membandingkan diri saya dengan teman-teman yang terlihat lebih bisa mengatur semuanya dengan baik.
52,pembahasan,"Di rumah ada banyak konflik antara ayah dan ibu, terutama tentang peran mereka dalam keluarga. Ayah saya memiliki pola pikir yang sangat patriarkal, sementara ibu saya ingin lebih mandiri. Mereka sering bertengkar tentang hal itu."
53,pembahasan,"Saya biasanya berusaha untuk tidak memperdulikan ayah dan lebih dekat dengan ibu. Saya sering keluar berdua dengan ibu, dan itu membuat saya merasa lebih tenang."
54,pembahasan,"Iya, saya merasa lebih bisa bercerita dengan ibu. Tapi saya juga merasa ada jarak dengan ayah, dan saya tidak tahu apakah itu baik atau buruk."
55,pembahasan,"Baik, Kak. Saya sering merasa kehilangan kesadaran atau hampir pingsan ketika mendengar bentakan atau suara keras. Saya juga merasa sering menyalahkan diri sendiri dan sulit mengekspresikan emosi saya."
56,pembahasan,"Sejak kelas 12 SMA. Saat itu saya ikut pelatihan paskibra dan pelatihnya sering berteriak dengan nada tinggi. Saya mulai merasa pusing, jantung berdebar, hingga kehilangan keseimbangan."
57,pembahasan,"Mungkin karena sejak kecil saya sering mendapat tekanan dari orang tua saya. Mereka menuntut saya untuk selalu mengalah dan menjaga adik saya. Ibu saya perfeksionis, dan saya merasa harus selalu memenuhi harapan mereka."
58,pembahasan,"Ibu saya selalu menuntut saya untuk menjadi yang terbaik, baik dalam hal akademik maupun sikap. Saya selalu diminta untuk menjaga adik saya, meskipun saya merasa adik saya sulit diatur. Kami sering bertengkar, tapi ibu selalu berpihak pada adik saya."
59,pembahasan,Saya biasanya hanya diam dan memendam perasaan saya. Saya tidak ingin marah karena takut dianggap anak yang durhaka.
60,pembahasan,"Saya masih merasa ada jarak, terutama dengan ibu saya. Saya ingin bisa berkomunikasi lebih baik, tapi saya juga takut jika saya menyampaikan perasaan saya, mereka akan marah."
61,pembahasan,Saya pernah mengalami bullying saat SMA. Salah satu teman saya mengajak teman-teman lain untuk menjauhi saya karena saya dianggap 'cupu'. Saya tidak melawan atau melaporkan kejadian itu karena saya tidak ingin menambah masalah.
62,pembahasan,"Saya merasa sangat sendirian. Saya ingin berbicara dengan orang tua saya, tapi saya tahu mereka akan marah dan menganggap saya lemah."
63,pembahasan,"Saya baik-baik saja, Kak. Tapi saya juga merasa cemas, terutama tentang tugas ospek yang harus diposting di media sosial."
64,pembahasan,"Suara-suara itu mulai muncul lagi, terutama saat saya merasa diperhatikan. Saya juga masih merasa takut kalau suatu hari ada yang menghubungkan saya dengan foto yang pernah tersebar."
65,pembahasan,"Beberapa hari lalu, ketika ada orang yang melihat saya dari kepala sampai kaki. Saya langsung merasa panik dan mendengar suara yang mengatakan 'kamu tidak layak dicintai'"
66,pembahasan,"Saya biasanya mengabaikannya, tapi ada saat di mana saya merasa perlu diperhatikan oleh orang lain, agar saya merasa lebih baik."
67,pembahasan,"Ya, saya merasa tidak aman. Rasanya seperti semua orang akan menilai saya berdasarkan masa lalu saya."
68,pembahasan,Itu mungkin bisa membantu. Saya akan mencobanya.
69,pembahasan,Teman saya mengatakan sesuatu yang menyebalkan tentang kejadian lama itu. Saya langsung marah dan mendorongnya.
70,pembahasan,"Saya merasa cukup cemas, Kak. Saya bingung dengan apa yang harus saya lakukan mengenai beasiswa saya yang sudah pasti akan dicabut."
71,pembahasan,"Saya sebenarnya bukan hanya bingung tentang beasiswa ini, Kak, tapi juga merasa bersalah. Saya belum memberi tahu ibu saya soal beasiswa yang akan dihentikan, dan saya takut mengecewakan beliau."
72,pembahasan,"Ibu saya sangat bangga saya bisa kuliah di Maranatha, apalagi karena saya satu-satunya anak di keluarga yang bisa kuliah. Beliau sering membanggakan saya ke tetangga. Saya takut kalau saya memberitahu ibu, beliau akan kecewa atau sedih."
73,pembahasan,"Ya kalau saya terus menyembunyikannya, akhirnya ibu tetap akan tahu. Saya hanya tidak tahu bagaimana cara mengatakannya dengan baik."
74,pembahasan,"Itu bisa jadi ide yang bagus, Kak. Kakak kedua saya yang membiayai kehidupan saya dan ibu, jadi mungkin saya bisa bicara dengannya dulu untuk mencari cara terbaik sebelum berbicara dengan ibu."
75,pembahasan,"Saya tidak tahu apakah itu mungkin, tapi saya ingin mencobanya. Saya ingin merasa bahwa saya sudah melakukan segalanya sebelum benar-benar berhenti kuliah."
76,pembahasan,Saya berpikir untuk mencari pekerjaan dulu. Mungkin saya bisa bekerja dan menabung untuk kembali kuliah di kemudian hari.
77,pembahasan,"Sejak kecil saya merasa sulit berteman. Saya merasa teman-teman saya tidak pernah mengajak saya bermain. Bahkan saat kuliah, saya pernah memiliki teman saat orientasi mahasiswa baru, tapi mereka sepertinya tidak benar-benar menganggap saya bagian dari kelompok mereka. Mereka sering bermain bersama tanpa mengajak saya."
78,pembahasan,"Sejak SD. Saya tidak punya teman. Lalu di SMP, saya menyukai seorang laki-laki, tapi dia malah mengatakan saya jelek dan gemuk. Di SMA, saya dijauhi oleh teman-teman tanpa alasan yang jelas. Saya pernah mencoba mendapatkan beasiswa ke Taiwan, tapi saat saya gagal, mereka justru tertawa dan mengatakan ingin 'meledakkan Taiwan'."
79,pembahasan,"Mungkin yang di SMA... saya merasa benar-benar tidak diinginkan. Saya merasa tidak dihargai, dan itu membuat saya bertanya-tanya, 'Untuk apa saya hidup?'"
80,pembahasan,"Terima kasih, Kak"
81,pembahasan,Mungkin... saya bisa mencoba.
82,pembahasan,"Jadi, saya punya seorang kakak laki-laki di gereja yang sudah saya anggap sebagai kakak sendiri. Kami sering bersama karena kami ada di kepanitiaan retreat yang sama. Saya selalu berusaha membantu dia, bahkan saat saya lelah atau waktu sudah malam. Tapi semua berubah sejak dia mengira saya ingin merebut pacarnya."
83,pembahasan,"Saya hanya berbicara dengan pacarnya tentang perasaan saya yang merasa dimanfaatkan. Saya bilang kalau saya merasa seperti 'alat' yang membantu seseorang, tapi dia malah mengira saya mencoba mendekati pacarnya. Sejak itu, dia mulai menjauhi saya, mendiamkan saya di pertemuan, bahkan tidak menganggap saya ada di sana. Itu sangat menyakitkan karena saya tidak merasa melakukan kesalahan."
84,pembahasan,"Saya awalnya bingung. Saya tidak tahu harus bagaimana. Tapi puncaknya adalah saat dia menelepon saya dan memarahi saya habis-habisan, menuduh saya selingkuh dengan pacarnya. Kata-katanya kasar, dan dia sama sekali tidak mau mendengar penjelasan saya."
85,pembahasan,"Saya hanya diam. Saya takut kalau saya membela diri, dia akan semakin marah. Tapi setelah itu, saya merasa sangat kecewa dan sakit hati. Saya mulai menarik diri, bahkan saya tidak ingin berada di lantai yang sama dengannya saat ibadah."
86,pembahasan,Iya. Saya mulai sulit percaya pada orang lain. Saya tidak bisa bercerita kepada teman-teman di gereja karena saya takut mereka akan membicarakan saya di belakang. Saya juga jadi lebih mudah marah kalau ada orang yang bertanya-tanya soal keadaan saya.
87,pembahasan,"Ya. Saya merasa sulit untuk dekat dengan teman-teman di kampus. Saya takut jika saya terlalu terbuka, saya akan dikhianati lagi. Saya tidak ingin terlalu dekat dengan siapa pun sekarang."
88,pembahasan,"Tapi sulit untuk percaya lagi, Kak. Rasanya seperti lebih baik menjauh dari semua orang daripada harus dikhianati lagi."
89,pembahasan,"Saya baru tahu bahwa teman saya, B, menyebarkan isi chat saya di grup HIMA. Di chat itu, saya pernah bilang kalau saya tidak ingin berteman dengan orang lain selain yang sudah dekat dengan saya. Saya tidak mengerti kenapa B melakukan itu. Saya merasa sedih, tapi saya tidak tahu bagaimana mengungkapkan perasaan saya."
90,pembahasan,"Saya tidak mengatakan apa-apa. Saya hanya diam dan berpura-pura tidak tahu. Saya pikir, lebih baik saya tidak membahasnya daripada memperkeruh keadaan."
91,pembahasan,"Sejujurnya, saya merasa sedih dan sedikit marah. Tapi saya selalu berpikir bahwa menunjukkan emosi negatif itu tidak baik. Saya tidak ingin terlihat lemah di hadapan B."
92,pembahasan,"Iya, saya merasa kalau saya menunjukkan bahwa saya marah atau sedih, maka saya akan terlihat kalah di mata B."
93,pembahasan,"Saya cukup senang karena nilai saya meningkat. IPK saya sekarang 3.06, dan beasiswa Teknik Nusantara saya masih berlanjut."
94,pembahasan,"Sebenarnya ada. Saya kesulitan mengkomunikasikan keinginan saya kepada dosen wali saya. Saya ingin mengkontrak 22 SKS, tapi karena dosen wali saya bilang 'tidak perlu ambil banyak-banyak,' saya langsung diam dan hanya mengikuti saran beliau."
95,pembahasan,"Saya merasa sedikit lega, tapi tetap ada perasaan aneh. Saya merasa baik-baik saja sekarang, tapi tidak tahu apakah ini hanya sementara atau akan kembali lagi nanti."
96,pembahasan,Saya masih sering marah kalau ada orang yang menegur saya atau mengabaikan saya. Rasanya ingin membalas atau bahkan melukai mereka. Tapi saya sadar kalau itu berlebihan dan saya tidak ingin kelepasan.
97,pembahasan,"Tergantung. Biasanya kalau saya merasa tidak dihargai atau diabaikan, saya langsung kesal. Tapi akhir-akhir ini saya juga merasa lebih cepat marah kalau ada orang yang terlalu banyak bertanya atau ingin terlalu dekat dengan saya."
98,pembahasan,"Ada seorang teman saya, G. Dia sebenarnya baik, tapi akhir-akhir ini dia sering bertanya banyak hal dan ingin selalu bersama saya. Saya tidak suka dan merasa dia terlalu menempel."
99,pembahasan,"Iya, saya tidak suka rasanya. Tapi saya juga tidak ingin menyakiti perasaannya, jadi saya bingung harus bagaimana."
100,pembahasan,"Iya, tapi tidak sesering sebelumnya. Kadang saya masih merasa dia mengawasi saya, terutama kalau saya akan ujian atau merasa stres. Saya juga kadang masih mencium bau melati atau darah, dan itu sangat mengganggu."
101,pembahasan,"Tidak selalu. Kadang dia muncul tanpa alasan, dan itu yang membuat saya takut."
102,pembahasan,Tidak! Saya tidak mau ke psikiater
103,pembahasan,"Tetap saja, saya tidak ingin orang tua saya tahu."
104,pembahasan,"Baik, Kak."
105,pembahasan,"Iya, masih. Kadang muncul sebelum tidur atau saat saya merasa stres. Saya juga kadang masih mencium bau melati atau darah, tapi saya sudah mulai bisa mengabaikannya."
106,pembahasan,"Baiklah, saya akan coba menuliskannya"
107,pembahasan,"Tidak banyak berubah, saya masih sering merasa tidak nyaman di rumah. Tapi saya lebih baik saat bersama ibu. Saya merasa lebih aman bersamanya dibandingkan dengan yang lain."
108,pembahasan,"Aku mencoba lebih membuka diri, mulai dari menyapa teman-teman lebih dulu. Rasanya agak canggung, tapi aku mencoba pelan-pelan."
109,pembahasan,"Sejujurnya, belum ada perubahan besar. Aku masih belum punya teman yang benar-benar dekat di kampus, tapi setidaknya aku tidak lagi merasa terlalu sendirian."
110,pembahasan,"Masih sulit, Kak. Aku tetap merasa bahwa materi kedokteran tidak mudah untukku. Tapi aku mencoba untuk lebih rajin membaca dan mengerjakan tugas tepat waktu"
111,pembahasan,"Baik, aku akan coba."
112,pembahasan,Aku masih sering berkomunikasi dengannya. Kami bertemu setiap liburan semester. Dia satu-satunya teman yang benar-benar mengerti aku.
113,pembahasan,"Sebenarnya, ada masalah baru, Kak. Ibuku baru saja tahu bahwa aku pernah berpacaran. Aku benar-benar takut dan cemas setelah beliau mengetahuinya."
114,pembahasan,"Beberapa waktu lalu, aku sempat pacaran diam-diam, karena ibuku memang melarangku pacaran sejak SMA. Saat beliau tahu, handphone dan tabletnya langsung disita. Bahkan semua chat dan percakapanku dengan mantan dibaca habis oleh ibuku. Aku merasa benar-benar tidak punya ruang pribadi."
115,pembahasan,"Aku marah, Kak. Tapi aku juga takut. Aku tahu ibuku ingin aku fokus kuliah, tapi aku juga merasa seperti tidak bisa jadi diri sendiri. Aku merasa terlalu dikekang."
116,pembahasan,"Tidak, Kak. Aku takut kalau aku mencoba bicara, malah tambah dimarahi atau dilarang lebih banyak hal lagi"
117,pembahasan,Aku juga ingin bisa menghindari konflik. Tapi aku merasa seperti selalu salah di mata ibuku.
118,pembahasan,"Itu masuk akal. Aku tidak mau terus-menerus merasa putus asa, jadi aku akan coba. Kak, ibuku menelepon. Aku harus angkat dulu"
119,pembahasan,"Iya, Bu... Aku pulang sekarang.."
120,pembahasan,"Aku pusing banget, Kak. Aku merasa kayak nggak punya waktu buat diri sendiri. Aku kuliah, magang, terus masih harus ngurus organisasi juga. Aku nggak tahu lagi harus gimana Aku kepikiran buat keluar dari organisasi, tapi aku nggak yakin keputusan itu benar."
121,pembahasan,Iya Awalnya aku nggak niat jadi ketua. Nama aku cuma dicantumin biar ada pilihan lebih dari satu. Tapi tiba-tiba aku malah yang kepilih
122,pembahasan,"Awalnya biasa aja. Aku pikir bisa dijalanin. Tapi makin lama aku sadar kalau aku nggak punya cukup pengalaman, terus aku denger juga ada yang ngomongin aku di belakang. Katanya aku ketua yang nggak kerja."
123,pembahasan,"Iya padahal aku udah berusaha sebisa mungkin. Tapi tetap aja kayaknya aku kurang. Aku juga merasa alumni lebih mendukung kandidat lain waktu pemilihan dulu, jadi kayaknya mereka nggak suka aku dari awal"
124,pembahasan,"Awalnya aku pikir cuma perasaan, tapi lama-lama ada yang bilang kalau mereka memang lebih suka kandidat yang lain"
125,pembahasan,"Iya, Kak Aku jadi kepikiran terus, padahal aku juga udah capek sama kuliah dan kerja magang"
126,pembahasan,"Magang itu sebenarnya lumayan membantu aku untuk biaya jajan, jadi aku nggak mau berhenti. Tapi jadinya aku harus pintar bagi waktu. Masalahnya, aku nggak bisa. Aku sering begadang, kurang tidur, bahkan pernah nggak tidur tiga hari."
127,pembahasan,"Ya, tugas banyak banget. Ada tugas kuliah, terus harus nyiapin laporan buat magang, dan ada rapat organisasi. Aku ngerasa nggak bisa ninggalin salah satu, jadi akhirnya ya udah, begadang terus."
128,pembahasan,"Sering Aku kepikiran keluar dari organisasi, tapi aku takut. Takut dibilang gagal, takut kalau aku malah bikin repot orang lain kalau pergi sekarang, takut juga kalau aku benar-benar berhenti, malah makin nggak ada yang mendukung aku."
129,pembahasan,Ayah aku dia masuk penjara bulan ini karena kasus di kantornya. Itu juga bikin aku makin kepikiran.
130,pembahasan,"Iya, aku jadi ngerasa harus lebih mandiri, nggak bisa terus bergantung sama keluarga. Aku harus cari cara buat bertahan sendiri."
131,pembahasan,"Ada sih beberapa teman, tapi aku nggak mau kelihatan lemah."
132,pembahasan,"Aku selalu kepikiran tentang apa yang orang lain pikirkan tentang aku. Kalau ada yang lihat aku sebentar aja, aku langsung mikir apa mereka mikir aku aneh? Apa mereka nggak suka aku? Pokoknya overthinking terus."
133,pembahasan,"Mungkin saat aku sedang bersama teman-teman atau di tempat umum. Aku sering merasa kalau mereka sedang menilai aku, terutama soal penampilan aku"
134,pembahasan,"Iya aku tahu mungkin nggak semua orang benar-benar memperhatikan aku, tapi aku tetap nggak bisa menghilangkan pikiran itu."
135,pembahasan,"Iya, soalnya temanku sering cerita tentang masalah orang lain ke aku. Jadi aku kepikiran, gimana kalau dia juga cerita tentang aku ke orang lain?"
136,pembahasan,"Belum aku takut kalau aku ngomong, dia malah tersinggung dan jadi nggak mau temenan sama aku lagi."
137,pembahasan,Iya aku takut dibilang lebay atau nggak percaya sama dia.
138,pembahasan,"Iya aku ngerasa gemuk, jadi aku pengen kurusan. Tapi kata orang-orang, aku sebenarnya nggak gemuk."
139,pembahasan,"Ya aku pengen ngerasa lebih percaya diri. Aku udah mulai diet, dan itu lumayan membantu aku ngerasa lebih baik."
140,pembahasan,"Iya, Kak. Aku juga nggak mau terlalu ekstrim sih cuma kadang masih kepikiran aja."
141,pembahasan,Ya aku sering nunda-nunda. Ujung-ujungnya aku harus begadang buat ngerjain tugas mendekati deadline.
142,pembahasan,"Aku sudah mencoba beberapa kali sejak SMP. Aku nggak tahu kenapa, tapi rasanya aku nggak berguna dan lebih baik nggak ada saja."
143,pembahasan,"Sepertinya karena aku merasa tidak dihargai. Dari dulu aku selalu merasa nggak cukup baik. Aku selalu dibandingkan, selalu dimarahi, dan aku merasa nggak pernah dianggap."
144,pembahasan,Tapi suara-suara itu mereka nggak berhenti. Aku dengar suara bapak-bapak atau kadang ibu-ibu yang menyuruh aku untuk mati.
145,pembahasan,"Iya, aku mau coba"
146,pembahasan,"Aku masih ingat semuanya kejadian waktu aku TK, SD, bahkan SMP. Aku takut. Aku merasa kotor. Aku merasa seharusnya aku bilang ke orang lain, tapi aku takut dimarahi"
147,pembahasan,"Tapi aku masih merasa takut aku masih ingat gang itu, aku masih ingat wajahnya. Aku merasa kalau aku lewat tempat itu, aku seperti kembali ke masa itu."
148,pembahasan,"Aku merasa apapun yang aku lakukan nggak pernah cukup. Aku juara kelas, tapi dibandingin sama anak orang lain. Aku mau masuk arsitektur, tapi dilarang. Aku ngerasa nggak punya kendali atas hidupku sendiri."
149,pembahasan,"Iya Aku nggak bisa bilang apa-apa ke mereka, karena mereka pasti bilang aku kurang bersyukur atau aku melawan kalau aku ngomong."
150,pembahasan,"Iya, aku merasa seperti nggak bisa mengikuti pelajaran dengan baik. Aku sering nggak ngerti penjelasan dosen, terus akhirnya aku jadi malas untuk mendengarkan lebih lanjut. Kadang, aku merasa dosen suka menilai aku sebagai yang paling nggak bisa di kelas, padahal ada yang lain juga sama seperti aku"
151,pembahasan,"Banget. Aku jadi ngerasa nggak pede buat jawab atau berpartisipasi, karena takut salah atau semakin dianggap bodoh"
152,pembahasan,"Aku sebenarnya punya teman, tapi lebih dekat dengan yang beda jurusan. Aku nggak tahu kenapa, rasanya lebih nyaman ngobrol sama mereka daripada sama teman-teman di kelas sendiri."
153,pembahasan,"Iya biasanya kalau aku merasa tertekan atau capek banget, aku mulai kepikiran buat nyakitin diri sendiri. Tapi aku nggak pernah benar-benar melakukannya, karena aku tahu itu salah"
154,pembahasan,"Iya jadi misalnya aku lagi di tempat umum, tiba-tiba ada orang yang lihat aku, entah itu sengaja atau nggak aku langsung kepikiran, 'Apa mereka tahu tentang aku? Apa mereka ngeh sama foto itu?'. Terus aku mulai dengar suara di kepala aku bilang kalau aku nggak pantas hidup, kalau semua orang pasti bakal ngejek aku"
155,pembahasan,"Kadang aku coba buat nggak dengerin, tapi rasanya susah. Aku jadi panik, jantungku berdetak cepat, tanganku dingin, dan aku cuma mau cepat-cepat pergi. Kadang aku juga cuma bisa diam, nggak bisa bergerak, tapi di dalam kepalaku rasanya berantakan banget"
156,pembahasan,"Iya aku takut kalau videonya viral terus ada yang ngeh sama aku. Aku takut ada yang ngomongin aku lagi, bilang kalau aku mirip sama foto itu aku nggak mau orang-orang tahu masa laluku"
157,pembahasan,Sudah tapi aku belum berani upload. Aku takut.
158,pembahasan,"Aku juga nggak tahu. Mungkin karena cowok lebih nggak ribet? Mereka nggak banyak basa-basi. Tapi aku juga kadang merasa aneh sendiri karena dulu aku trauma, tapi sekarang malah lebih nyaman dengan mereka."
159,pembahasan,"Aku tuh akhir-akhir ini merasa lelah banget, Kak. Aku ikut banyak kegiatan di UKM, dan itu membuat aku susah fokus di kuliah. Aku juga mulai mengalami panic attack, dan kayak aku nggak bisa ngontrol semuanya."
160,pembahasan,"Aku ikut UKM karena syarat beasiswa, Kak. Tapi sebenarnya aku juga suka kegiatan-kegiatan itu. Masalahnya, aku terlalu banyak mengambil tanggung jawab. Aku jadi wakil ketua di satu kepanitiaan, terus juga ketua di paduan suara UKM semuanya jadi numpuk, dan aku nggak bisa fokus di kuliah."
161,pembahasan,"Jujur aja, nilainya turun. Aku nggak bisa fokus pas kuis karena tiba-tiba dikasih tugas mendadak dari UKM. Jadi otakku tuh kayak kebagi-bagi terus."
162,pembahasan,"Rasanya panik, Kak. Aku jadi nggak bisa konsentrasi, dan malah makin stres. Aku kayak nggak bisa nolak juga, karena ada ekspektasi dari senior kalau aku harus bisa handle semuanya."
