question,intent
tapi saya sudah mulai bisa mengabaikannya.,Rasa Syukur dan Apresiasi
Tapi saya lebih baik saat bersama ibu. ,Rasa Syukur dan Apresiasi
Magang itu sebenarnya lumayan membantu aku untuk biaya jajan,Rasa Syukur dan Apresiasi
"Aku udah mulai diet, dan itu lumayan membantu aku ngerasa lebih baik.",Rasa Syukur dan Apresiasi
 tapi sekarang malah lebih nyaman dengan mereka.,Rasa Syukur dan Apresiasi
Tapi sebenarnya aku juga suka kegiatan-kegiatan itu. ,Rasa Syukur dan Apresiasi
kadang aku juga ketemu dia. ,Rasa Syukur dan Apresiasi
"Dulu, awal-awal pacaran aku ngerasa diperhatikan banget. ",Rasa Syukur dan Apresiasi
Iya… Di media sosial lebih gampang. ,Rasa Syukur dan Apresiasi
"Setelah masuk semester kedua, aku sudah mulai terbiasa dan bisa mengikuti materi lebih baik.",Rasa Syukur dan Apresiasi
"Sejauh ini cukup membantu, ",Rasa Syukur dan Apresiasi
"Tapi lama-lama, aku mulai merasa tertarik juga. ",Rasa Syukur dan Apresiasi
mereka justru berusaha memahami saya dan sering memberi motivasi supaya saya lebih tenang.,Rasa Syukur dan Apresiasi
"Di semester 1 saya hanya mendapat nilai 16 untuk mata kuliah itu, tapi di semester 2 saya sudah berusaha lebih keras dan nilainya naik jadi 50",Rasa Syukur dan Apresiasi
"Saya sebenarnya suka bahasa Mandarin dan budaya Cina, makanya saya mengambil program ini.",Rasa Syukur dan Apresiasi
Saya ingin punya teman yang bisa mengerti saya.,Rasa Syukur dan Apresiasi
Aku bisa cerita banyak hal tanpa merasa takut dihakimi.,Rasa Syukur dan Apresiasi
Aku suka kalau punya teman yang bisa diajak diskusi soal akademik,Rasa Syukur dan Apresiasi
"Aku ingin sukses bukan hanya karena ayah, tapi juga karena aku suka bidang ini.",Rasa Syukur dan Apresiasi
"Baik, Kak. Terima kasih banyak.",Rasa Syukur dan Apresiasi
Terima kasih sudah mendengarkan.,Rasa Syukur dan Apresiasi
"Iya, Kak. Itu kayaknya bisa membantu banget.",Rasa Syukur dan Apresiasi
"Terima kasih, Kak. Aku nggak nyangka aku bisa cerita sejauh ini…",Rasa Syukur dan Apresiasi
"Terima kasih, Kak. ",Rasa Syukur dan Apresiasi
Aku jadi merasa lebih punya kendali atas situasi ini.,Rasa Syukur dan Apresiasi
 Terima kasih sudah mendengarkan aku.,Rasa Syukur dan Apresiasi
Terima kasih sudah mendengarkan aku.,Rasa Syukur dan Apresiasi
"Iya, aku merasa lebih lega setelah bicara ini. ",Rasa Syukur dan Apresiasi
 Aku merasa lebih lega setelah membicarakannya.,Rasa Syukur dan Apresiasi
Aku merasa lebih lega setelah membicarakannya. ,Rasa Syukur dan Apresiasi
Aku merasa sedikit lebih lega,Rasa Syukur dan Apresiasi
Aku merasa lebih baik setelah berbicara,Rasa Syukur dan Apresiasi
"Terima kasih, Kak.",Rasa Syukur dan Apresiasi
Saya merasa biasa saja,Rasa Syukur dan Apresiasi
"Sejujurnya, saya masih merasa bingung dengan pertemanan saya di kampus",Perasaan Sedih dan Kehilangan
"Baik kak, walaupun agak capek",Perasaan Sedih dan Kehilangan
"Baik, atau mungkin nggak baik juga",Perasaan Sedih dan Kehilangan
"Baik, atau mungkin tidak terlalu baik",Perasaan Sedih dan Kehilangan
"Baik, atau mungkin nggak baik juga",Perasaan Sedih dan Kehilangan
"baik kak, tapi jujur agak capek dan masih kepikiran banyak hal",Perasaan Sedih dan Kehilangan
"baik kak, ya walaupun masih kepikiran beberapa hal sih",Perasaan Sedih dan Kehilangan
"Iya, saya masih merasa tertekan saat di rumah.",Perasaan Sedih dan Kehilangan
juga merasa terbebani dengan kondisi keuangan keluarga saya.,Perasaan Sedih dan Kehilangan
Saya sering kali merasa tidak nyaman dengan hubungan ini. ,Perasaan Sedih dan Kehilangan
"Tapi di sisi lain, saya merasa kehilangan.",Perasaan Sedih dan Kehilangan
Saya jadi merasa terbebani dan berpikir bahwa saya hanya menambah masalah bagi keluarga.,Perasaan Sedih dan Kehilangan
Bahkan ada saat-saat di mana saya merasa ingin menyerah dan berpikir bahwa lebih baik saya tidak ada di dunia ini.,Perasaan Sedih dan Kehilangan
Saya tahu guru saya tidak bermaksud jahat,Perasaan Sedih dan Kehilangan
"Saya mengalami banyak hal sejak kecil, dan itu masih berdampak pada saya sampai sekarang.",Perasaan Sedih dan Kehilangan
"Saya mengalami perundungan sejak SD, SMP, hingga SMA. ",Perasaan Sedih dan Kehilangan
Saya berpikir bahwa saya harus menghadapi semuanya sendirian. ,Perasaan Sedih dan Kehilangan
Saya menganggap boneka itu sebagai teman saya. ,Perasaan Sedih dan Kehilangan
"Saya juga beberapa kali mencoba mengakhiri hidup, tapi saya masih bertahan sampai sekarang.",Perasaan Sedih dan Kehilangan
"Iya, saya memang sering mengalami masalah pencernaan sejak SMP. ",Perasaan Sedih dan Kehilangan
"Sebenarnya tidak terlalu mengganggu, tapi ada saat-saat di mana saya merasa sangat lelah dan sulit berkonsentrasi. ",Perasaan Sedih dan Kehilangan
"Di rumah ada banyak konflik antara ayah dan ibu, terutama tentang peran mereka dalam keluarga. ",Perasaan Sedih dan Kehilangan
Tapi saya juga merasa ada jarak dengan ayah,Perasaan Sedih dan Kehilangan
Mungkin karena sejak kecil saya sering mendapat tekanan dari orang tua saya. ,Perasaan Sedih dan Kehilangan
Saya biasanya hanya diam dan memendam perasaan saya. ,Perasaan Sedih dan Kehilangan
"Saya masih merasa ada jarak, terutama dengan ibu saya. ",Perasaan Sedih dan Kehilangan
Saya pernah mengalami bullying saat SMA. ,Perasaan Sedih dan Kehilangan
Saya merasa sangat sendirian. ,Perasaan Sedih dan Kehilangan
Sejak kecil saya merasa sulit berteman. ,Perasaan Sedih dan Kehilangan
Sejak SD. Saya tidak punya teman. ,Perasaan Sedih dan Kehilangan
"Saya merasa tidak dihargai, dan itu membuat saya bertanya-tanya, 'Untuk apa saya hidup?'",Perasaan Sedih dan Kehilangan
Saya hanya berbicara dengan pacarnya tentang perasaan saya yang merasa dimanfaatkan. ,Perasaan Sedih dan Kehilangan
Ya. Saya merasa sulit untuk dekat dengan teman-teman di kampus. ,Perasaan Sedih dan Kehilangan
"Tapi sulit untuk percaya lagi, Kak. ",Perasaan Sedih dan Kehilangan
"Saya merasa sedih, tapi saya tidak tahu bagaimana mengungkapkan perasaan saya.",Perasaan Sedih dan Kehilangan
Saya tidak mengatakan apa-apa. ,Perasaan Sedih dan Kehilangan
"Sejujurnya, saya merasa sedih ",Perasaan Sedih dan Kehilangan
"Tidak banyak berubah, saya masih sering merasa tidak nyaman di rumah. ",Perasaan Sedih dan Kehilangan
"Sejujurnya, belum ada perubahan besar. ",Perasaan Sedih dan Kehilangan
"Masih sulit, Kak. ",Perasaan Sedih dan Kehilangan
"Sebenarnya, ada masalah baru, Kak. ",Perasaan Sedih dan Kehilangan
"Saat beliau tahu, handphone dan tabletnya langsung disita. ",Perasaan Sedih dan Kehilangan
tapi aku juga merasa seperti tidak bisa jadi diri sendiri. ,Perasaan Sedih dan Kehilangan
Tapi aku merasa seperti selalu salah di mata ibuku.,Perasaan Sedih dan Kehilangan
"Aku pusing banget, Kak. ",Perasaan Sedih dan Kehilangan
Iya… Awalnya aku nggak niat jadi ketua. ,Perasaan Sedih dan Kehilangan
"Tapi makin lama aku sadar kalau aku nggak punya cukup pengalaman, ",Perasaan Sedih dan Kehilangan
Tapi tetap aja kayaknya aku kurang. ,Perasaan Sedih dan Kehilangan
tapi lama-lama ada yang bilang kalau mereka memang lebih suka kandidat yang lain,Perasaan Sedih dan Kehilangan
"Iya, Kak… Aku jadi kepikiran terus",Perasaan Sedih dan Kehilangan
"Masalahnya, aku nggak bisa",Perasaan Sedih dan Kehilangan
"jadi akhirnya ya udah, begadang terus.",Perasaan Sedih dan Kehilangan
malah makin nggak ada yang mendukung aku.,Perasaan Sedih dan Kehilangan
Ayah aku… dia masuk penjara bulan ini karena kasus di kantornya,Perasaan Sedih dan Kehilangan
"Iya, aku jadi ngerasa harus lebih mandiri",Perasaan Sedih dan Kehilangan
dia malah tersinggung dan jadi nggak mau temenan sama aku lagi.,Perasaan Sedih dan Kehilangan
"Iya… aku ngerasa gemuk, jadi aku pengen kurusan. ",Perasaan Sedih dan Kehilangan
Ya… aku sering nunda-nunda. ,Perasaan Sedih dan Kehilangan
sejak SMP. Aku nggak tahu kenapa,Perasaan Sedih dan Kehilangan
Dari dulu aku selalu merasa nggak cukup baik. ,Perasaan Sedih dan Kehilangan
"Aku masih ingat semuanya… kejadian waktu aku TK, SD, bahkan SMP. ",Perasaan Sedih dan Kehilangan
Aku merasa apapun yang aku lakukan nggak pernah cukup. ,Perasaan Sedih dan Kehilangan
"Iya, aku merasa seperti nggak bisa mengikuti pelajaran dengan baik. ",Perasaan Sedih dan Kehilangan
"Aku nggak tahu kenapa, rasanya lebih nyaman ngobrol sama mereka daripada sama teman-teman di kelas sendiri.",Perasaan Sedih dan Kehilangan
"Iya… biasanya kalau aku merasa tertekan atau capek banget, ",Perasaan Sedih dan Kehilangan
"Aku tuh akhir-akhir ini merasa lelah banget, Kak. ",Perasaan Sedih dan Kehilangan
"Masalahnya, aku terlalu banyak mengambil tanggung jawab. ",Perasaan Sedih dan Kehilangan
"Jujur aja, nilainya turun. ",Perasaan Sedih dan Kehilangan
"Aku jadi nggak bisa konsentrasi, ",Perasaan Sedih dan Kehilangan
Aku jadi ngerasa kayak kembali ke masa lalu,Perasaan Sedih dan Kehilangan
Aku mau cerita soal mantanku dulu,Perasaan Sedih dan Kehilangan
"Dulu, aku sama dia tuh cocok banget, Kak. ",Perasaan Sedih dan Kehilangan
Iya… Aku masih sering kepo media sosialnya,Perasaan Sedih dan Kehilangan
Aku mau cerita soal pacarku dulu… ,Perasaan Sedih dan Kehilangan
"Tapi sekarang, dia jarang ngehubungin aku duluan. ",Perasaan Sedih dan Kehilangan
Aku ngerasa kayak aku nggak sepenting itu buat dia. ,Perasaan Sedih dan Kehilangan
"Iya, kayak aku yang lebih effort dibanding dia. ",Perasaan Sedih dan Kehilangan
Iya… Aku ngerasa mama lebih perhatian ke adikku dibanding ke aku,Perasaan Sedih dan Kehilangan
"Sedih banget, Kak. ",Perasaan Sedih dan Kehilangan
Aku bilang ke mama kalau aku juga butuh perhatian. ,Perasaan Sedih dan Kehilangan
Makanya aku sering diem aja,Perasaan Sedih dan Kehilangan
Aku lebih suka sendiri…,Perasaan Sedih dan Kehilangan
lebih nyaman di rumah aja.,Perasaan Sedih dan Kehilangan
Aku ngerasa kayak nggak ada yang benar-benar suka sama aku. ,Perasaan Sedih dan Kehilangan
"Iya, mereka pasti mikir aku sombong.",Perasaan Sedih dan Kehilangan
padahal aku nggak ngapa-ngapain.,Perasaan Sedih dan Kehilangan
Aku merasa ibu tidak pernah memahami aku. ,Perasaan Sedih dan Kehilangan
sedih,Perasaan Sedih dan Kehilangan
"Aku merasa sulit berteman, ",Perasaan Sedih dan Kehilangan
"Dulu waktu sekolah, ujian hanya ada UTS dan UAS",Perasaan Sedih dan Kehilangan
Aku merasa sulit menemukan teman yang satu frekuensi denganku. ,Perasaan Sedih dan Kehilangan
"Kayaknya aku dianggap kurang asik, kurang bisa diajak ngobrol hal-hal santai seperti soal perasaan atau kehidupan pribadi. ",Perasaan Sedih dan Kehilangan
Dulu teman-temanku bilang aku nggak asik karena nggak bisa diajak ngobrol soal pacaran atau hal-hal emosional. ,Perasaan Sedih dan Kehilangan
"Sejak kecil, aku merasa tidak ada yang spesial dalam diriku. ",Perasaan Sedih dan Kehilangan
Aku merasa tidak berharga karena dari kecil aku dianggap ‘kurang’ oleh keluargaku sendiri.,Perasaan Sedih dan Kehilangan
tapi tetap saja aku merasa sulit.,Perasaan Sedih dan Kehilangan
Iya… Dulu aku merasa gagal terus di mata ayah. ,Perasaan Sedih dan Kehilangan
Mungkin lebih ke perasaan dalam diriku sendiri… ,Perasaan Sedih dan Kehilangan
Segalanya terasa berat.,Perasaan Sedih dan Kehilangan
"Aku mulai mengerjakan tugas, lalu entah bagaimana aku malah terdistraksi. ",Perasaan Sedih dan Kehilangan
Aku merasa sangat bersalah… ,Perasaan Sedih dan Kehilangan
Mereka mulai mengeluh kalau aku kurang berkontribusi. ,Perasaan Sedih dan Kehilangan
"Aku pernah menangis saat dimarahi dan tiba-tiba aku mulai melantur… Aku bahkan tidak sadar apa yang aku katakan, tapi aku merasa sangat sakit dan kesepian saat itu.",Perasaan Sedih dan Kehilangan
Aku merasa semakin sulit bergaul dengan teman-temanku.,Perasaan Sedih dan Kehilangan
" Tapi ternyata, tidak ada yang paham.",Perasaan Sedih dan Kehilangan
Saya sering merasa bahwa pencapaian saya tidak sebesar teman-teman saya. ,Perasaan Sedih dan Kehilangan
Saya hanya merasa malu. ,Perasaan Sedih dan Kehilangan
Kadang saya merasa ingin melupakan semuanya,Perasaan Sedih dan Kehilangan
Saya tidak tahu... ,Perasaan Sedih dan Kehilangan
"Begitu masuk kuliah, saya kesulitan mengikuti mata kuliah yang penuh dengan hitungan seperti rangkaian listrik. ",Perasaan Sedih dan Kehilangan
"Saya juga mencoba mengulang materi sendiri, tapi tetap terasa sulit bagi saya.",Perasaan Sedih dan Kehilangan
Ayah saya pernah bilang bahwa saya ini aneh,Perasaan Sedih dan Kehilangan
"Ketika saya melihat teman-teman yang bisa bermain bersama, tapi saya tidak pernah diajak. ",Perasaan Sedih dan Kehilangan
"Tapi seperti yang saya bilang, dia malah memarahi saya",Perasaan Sedih dan Kehilangan
"Saya ingin punya teman, tapi saya tidak tahu bagaimana memulainya.",Perasaan Sedih dan Kehilangan
Mungkin saya bisa mulai berbicara dengan teman di kampus yang sudah lama saya kenal. ,Perasaan Sedih dan Kehilangan
Tapi bagaimana caranya? ,Perasaan Sedih dan Kehilangan
"Pernah, tapi saya tidak begitu paham bagaimana cara melakukannya.",Perasaan Sedih dan Kehilangan
Orang tua saya tidak akan senang kalau saya pergi ke psikiater. ,Perasaan Sedih dan Kehilangan
"Tapi karena aku belum punya teman dekat di kampus, aku lebih banyak belajar sendiri.",Perasaan Sedih dan Kehilangan
Aku ngerasa nggak punya tempat di sana. ,Perasaan Sedih dan Kehilangan
"Kayaknya lebih banyak negatifnya, Kak. ",Perasaan Sedih dan Kehilangan
"Sebagian besar sih karena mantanku, tapi ada juga karena kuliah. ",Perasaan Sedih dan Kehilangan
"tapi aku juga merasa ada sesuatu yang kurang. Kayak, kok rasanya aku tetap merasa nggak sepenuhnya diterima?",Perasaan Sedih dan Kehilangan
Tapi kadang aku hanya menahan semuanya sendiri dan itu rasanya nggak enak.,Perasaan Sedih dan Kehilangan
"Saya tidak ingin terus menyimpan dendam, tapi saya juga tidak mau berhubungan lagi dengannya.",Perasaan Sedih dan Kehilangan
"Aku tidak terbiasa menulis tentang diriku sendiri, Kak.",Perasaan Sedih dan Kehilangan
Awalnya saya agak terkejut ketika dipanggil,Reaksi Terkejut dan Tidak Terduga
masih mengalami konflik antara pikiran dan perasaan saya,Reaksi Terkejut dan Tidak Terduga
Dia sering bertanya kenapa saya menjauh,Reaksi Terkejut dan Tidak Terduga
"Sejak setahun terakhir, orang tua saya sering membicarakan masalah keuangan di depan saya. ",Reaksi Terkejut dan Tidak Terduga
Saya sering merasa stres dan kurang fokus di kampus. ,Reaksi Terkejut dan Tidak Terduga
"Tapi kadang-kadang saat saya sendirian atau di tempat ramai, sosok itu tiba-tiba muncul dan berbicara kepada saya.",Reaksi Terkejut dan Tidak Terduga
saya tidak tahu apakah itu baik atau buruk.,Reaksi Terkejut dan Tidak Terduga
"Saya sebenarnya bukan hanya bingung tentang beasiswa ini, Kak, ",Reaksi Terkejut dan Tidak Terduga
"Bahkan saat kuliah, saya pernah memiliki teman saat orientasi mahasiswa baru, tapi mereka sepertinya tidak benar-benar menganggap saya bagian dari kelompok mereka. ",Reaksi Terkejut dan Tidak Terduga
"Di SMA, saya dijauhi oleh teman-teman tanpa alasan yang jelas. ",Reaksi Terkejut dan Tidak Terduga
Tapi semua berubah sejak dia mengira saya ingin merebut pacarnya.,Reaksi Terkejut dan Tidak Terduga
"Saya bilang kalau saya merasa seperti 'alat' yang membantu seseorang, tapi dia malah mengira saya mencoba mendekati pacarnya. ",Reaksi Terkejut dan Tidak Terduga
Saya awalnya bingung. ,Reaksi Terkejut dan Tidak Terduga
"Saya baru tahu bahwa teman saya, B, menyebarkan isi chat saya di grup HIMA. ",Reaksi Terkejut dan Tidak Terduga
tapi tetap ada perasaan aneh. ,Reaksi Terkejut dan Tidak Terduga
jadi saya bingung harus bagaimana.,Reaksi Terkejut dan Tidak Terduga
Ibuku baru saja tahu bahwa aku pernah berpacaran. ,Reaksi Terkejut dan Tidak Terduga
Bahkan semua chat dan percakapanku dengan mantan dibaca habis oleh ibuku. ,Reaksi Terkejut dan Tidak Terduga
Tapi tiba-tiba aku malah yang kepilih,Reaksi Terkejut dan Tidak Terduga
"Tapi kata orang-orang, aku sebenarnya nggak gemuk.",Reaksi Terkejut dan Tidak Terduga
Sepertinya karena aku merasa tidak dihargai. ,Reaksi Terkejut dan Tidak Terduga
Aku juga nggak tahu. ,Reaksi Terkejut dan Tidak Terduga
Aku nggak bisa fokus pas kuis karena tiba-tiba dikasih tugas mendadak dari UKM. ,Reaksi Terkejut dan Tidak Terduga
karena ada ekspektasi dari senior kalau aku harus bisa handle semuanya.,Reaksi Terkejut dan Tidak Terduga
"Tapi ya… setelah aku tahu dia selingkuh, aku jadi bingung. ",Reaksi Terkejut dan Tidak Terduga
"Aku kayak nggak percaya, Kak. ",Reaksi Terkejut dan Tidak Terduga
