question,stage,reference,intent_override
"Aku mencoba lebih membuka diri, mulai dari menyapa teman-teman lebih dulu. Rasanya agak canggung, tapi aku mencoba pelan-pelan.",solusi,Itu langkah yang baik! Membuka diri memang butuh waktu dan latihan. Kamu merasa ada perubahan setelah mencoba ini?,Menyatakan Perasaan Sedih dan Kehilangan
"Saya baik-baik saja, Kak. Tapi saya juga merasa cemas, terutama tentang tugas ospek yang harus diposting di media sosial.",pembahasan,"Saya memahami bahwa tugas tersebut membuatmu merasa tidak nyaman. Kita bisa membahasnya nanti. Sebelum itu, saya ingin mendengar lebih lanjut tentang apa yang kamu rasakan secara keseluruhan. Apakah ada hal yang paling mengganggu akhir-akhir ini?",
Saya merasa lebih nyaman. Saya paling suka gerakan menyentuh dada dengan lembut dan memeluk diri sendiri.,relaksasi,"Bagus! Kamu bisa menggunakan gerakan ini kapan pun kamu merasa cemas. Sekarang, kita akan mencoba teknik relaksasi pernapasan 4-7-8",Menyatakan Perasaan Sedih dan Kehilangan
Halo,pembukaan,"Halo AH, terima kasih sudah datang ke sesi konseling ini. Saya ingin menegaskan bahwa ini adalah ruang yang aman untukmu. Saya di sini untuk mendengarkan dan membantumu sebisa mungkin. Bagaimana perasaanmu hari ini?",
"Baik, aku akan mencoba. Terima kasih, Kak.",solusi,"Sama-sama, CD. Ingat, kamu selalu bisa menghubungi aku jika ada sesuatu yang ingin kamu bahas sebelum sesi berikutnya.",Menyatakan Perasaan Sedih dan Kehilangan
Mungkin bisa dicoba… Tapi gimana kalau mereka nggak balas?,solusi,"Tidak apa-apa. Tujuannya bukan memastikan mereka membalas, tapi untuk membiasakan dirimu mencoba. Kalau satu kali tidak berhasil, kita coba lagi dengan orang lain. Yang terpenting adalah usaha kecil ini bisa membantumu lebih nyaman berada di sekitar orang lain.",Menyatakan Perasaan Sedih dan Kehilangan
"Iya, aku jadi ngerasa harus lebih mandiri, nggak bisa terus bergantung sama keluarga. Aku harus cari cara buat bertahan sendiri.",pembahasan,Itu beban yang besar. Aku bisa melihat bahwa kamu sangat kuat dan bertanggung jawab. Tapi apakah kamu punya seseorang yang bisa kamu ajak bicara tentang semua ini?,
Ya… Aku mau mencoba.,pembahasan,"Baik. Pertama, aku ingin kamu mulai menulis jurnal. Setiap hari, coba tuliskan apa yang terjadi, apa yang kamu rasakan, dan bagaimana kamu bereaksi. Ini akan membantu kita memahami pola yang terjadi dalam hidupmu.",
"Iya, aku akan coba. Aku merasa lebih lega setelah membicarakannya.",solusi,"Bagus! Aku senang mendengarnya. Kita bisa bertemu lagi untuk melihat bagaimana perkembanganmu. Jika kamu butuh berbagi di antara sesi ini, jangan ragu untuk menghubungi aku, ya.",Menyatakan Perasaan Sedih dan Kehilangan
"Aku juga nggak tahu. Mungkin karena cowok lebih nggak ribet? Mereka nggak banyak basa-basi. Tapi… aku juga kadang merasa aneh sendiri karena dulu aku trauma, tapi sekarang malah lebih nyaman dengan mereka.",relaksasi,"Bisa jadi karena kamu merasa lebih bisa mengontrol situasi saat berteman dengan mereka. Mungkin kamu merasa di lingkungan pertemanan itu, kamu tidak perlu khawatir akan dihakimi atau dikaitkan dengan masa lalu.",Menyatakan Perasaan Sedih dan Kehilangan
"Terima kasih, Kak. Aku merasa sedikit lebih lega… Walaupun aku tahu ini tidak akan mudah.",pembahasan,"Perubahan membutuhkan waktu, dan aku di sini untuk mendukungmu. Kita akan bertemu lagi untuk membahas bagaimana jurnal dan sistem barumu berjalan. Jika kamu butuh sesuatu sebelum pertemuan berikutnya, jangan ragu untuk menghubungiku, ya.",
"Iya, Kak… Aku jadi kepikiran terus, padahal aku juga udah capek sama kuliah dan kerja magang",pembahasan,Kamu menyebutkan bahwa kamu juga bekerja magang untuk membantu keuanganmu. Seberapa besar pengaruhnya terhadap keseharianmu?,
"Itu masuk akal. Aku tidak mau terus-menerus merasa putus asa, jadi aku akan coba. Kak, ibuku menelepon. Aku harus angkat dulu…",solusi,"Tidak apa-apa, silakan dijawab.",Menyatakan Perasaan Sedih dan Kehilangan
"Pertama kali pas aku dengar ibu bertengkar sama abangku di kos. Aku langsung ke-trigger karena dulu waktu kecil, rumah sering berantakan gara-gara pertengkaran di keluarga. Aku jadi ngerasa kayak kembali ke masa lalu… tiba-tiba napas aku jadi berat, terus aku nggak bisa mikir jernih, semuanya ngeblank. Aku pingsan.",pembahasan,"Itu pasti pengalaman yang berat untukmu. Panic attack bisa terjadi karena tubuh dan pikiranmu merasa terancam, meskipun mungkin saat ini kamu sudah berada di lingkungan yang lebih aman",
"Iya… Aku memang ingin berbicara soal rasa takut yang sering muncul. Aku tidak tahu kenapa, tapi akhir-akhir ini aku gampang kaget dan cemas setiap saat, bahkan ketika sedang belajar di kamar.",pembahasan,"Baik, coba kita bahas lebih dalam. Kapan biasanya perasaan takut itu muncul?",
"Iya, Kak. Aku akan coba semuanya. Aku jadi merasa lebih punya kendali atas situasi ini.",penutupan,"Itu luar biasa! Kita bisa bertemu lagi di sesi berikutnya untuk melihat bagaimana perkembanganmu. Jika kamu butuh sesuatu sebelum sesi berikutnya, kamu bisa menghubungiku, ya.",
"Aku tuh akhir-akhir ini merasa lelah banget, Kak. Aku ikut banyak kegiatan di UKM, dan itu membuat aku susah fokus di kuliah. Aku juga mulai mengalami panic attack, dan kayak… aku nggak bisa ngontrol semuanya.",pembahasan,Apa yang membuatmu mengambil banyak kegiatan di UKM?,
"Itu masuk akal, Kak. Saya memang selalu berpikir bahwa saya akan dipermalukan, padahal kenyataannya teman-teman saya baik-baik saja.",solusi,"Itu adalah langkah pertama dalam mengatasi kecemasan—menyadari bahwa pikiran kita kadang tidak sesuai dengan kenyataan. Sekarang, kita akan mencoba latihan untuk membantu mengurangi kecemasanmu. Saya ingin mengajakmu mencoba beberapa gerakan untuk membantu menenangkan pikiran dan tubuhmu. Bisa kita coba?",Menyatakan Perasaan Sedih dan Kehilangan
"Mungkin saya bisa mulai berbicara dengan teman di kampus yang sudah lama saya kenal. Saya tahu dia tidak pernah menjelek-jelekkan saya, tapi saya juga tidak pernah terlalu terbuka dengannya.",pembahasan,"Itu langkah yang bagus. Kamu juga bisa mencoba menetapkan batasan, agar kamu merasa lebih aman dalam berinteraksi dengan orang lain. Jika seseorang membuatmu tidak nyaman, kamu berhak untuk menjaga jarak, tapi bukan berarti kamu harus menjauhi semua orang.",
Nggak… biasanya aku cuma menyendiri aja sampai perasaannya hilang sendiri.,pembahasan,"Kita bisa coba beberapa teknik, seperti journaling untuk menuliskan perasaanmu, atau menggunakan teknik grounding supaya kamu bisa lebih tenang saat pikiran negatif muncul. Kita juga bisa coba latihan relaksasi atau meditasi ringan.",
"Saya biasanya mengabaikannya, tapi ada saat di mana saya merasa perlu diperhatikan oleh orang lain, agar saya merasa lebih baik.",relaksasi,Kamu juga sempat menyebutkan tentang tugas ospek yang membuatmu cemas. Bisa ceritakan lebih lanjut tentang apa yang membuatmu takut?,Menyatakan Perasaan Sedih dan Kehilangan
"Sejujurnya, belum ada perubahan besar. Aku masih belum punya teman yang benar-benar dekat di kampus, tapi setidaknya aku tidak lagi merasa terlalu sendirian.",pembahasan,"Sebelumnya, kita membahas tentang kesulitan akademik dan IPK-mu yang menurun. Bagaimana menurutmu sejauh ini?",
"Iya, Kak. Aku bakal coba. Terima kasih sudah mendengarkan.",penutupan,"Tentu. Kita bisa bertemu lagi dalam sesi berikutnya untuk melihat perkembanganmu. Kalau kamu butuh bantuan sebelum itu, kamu bisa menghubungiku.",
"Saya tidak mengatakan apa-apa. Saya hanya diam dan berpura-pura tidak tahu. Saya pikir, lebih baik saya tidak membahasnya daripada memperkeruh keadaan.",pembahasan,"Saya paham. Kamu ingin menghindari konflik. Tapi di dalam hati, apa yang sebenarnya kamu rasakan?",
"Saya tidak tahu. Saya takut kalau saya mencoba lagi, saya akan dikhianati lagi.",solusi,Itu adalah perasaan yang valid. Tapi bagaimana jika kita mulai dengan langkah kecil? Mungkin kamu bisa mencoba berbicara lebih terbuka dengan seseorang yang sudah kamu kenal lama dan kamu rasa bisa dipercaya.,Menyatakan Perasaan Sedih dan Kehilangan
"Tidak, Kak. Aku takut kalau aku mencoba bicara, malah tambah dimarahi atau dilarang lebih banyak hal lagi",solusi,Saya paham kalau ini situasi yang sulit untukmu. Bagaimana kalau kita coba cari cara agar kamu bisa menghindari konflik besar dengan ibumu?,Menyatakan Perasaan Sedih dan Kehilangan
"Saya mulai berbicara dengan diri sendiri dan boneka kesayangan saya. Saya menganggap boneka itu sebagai teman saya. Lalu di SMP, saya mulai melihat sosok yang hanya saya yang bisa lihat dan ajak bicara.",pembahasan,"Jadi sejak SMP, kamu mulai merasa ada sosok yang menemanimu?",
"Oke, aku bisa coba itu.",pembahasan,"Kedua, mari kita buat sistem kecil untuk membantumu menyelesaikan tugas. Kita mulai dengan tugas yang paling kecil, dan aku ingin kamu mencoba teknik pomodoro—mengerjakan selama 25 menit, lalu istirahat 5 menit. Bagaimana menurutmu?",
Iya… Aku merasa tidak berharga karena dari kecil aku dianggap ‘kurang’ oleh keluargaku sendiri.,pembahasan,Kamu pernah mencoba untuk mengekspresikan perasaan ini kepada ibumu?,
Tapi saya tidak tahu bagaimana cara mengekspresikannya dengan benar.,pembahasan,"Tidak apa-apa. Ini sesuatu yang bisa dipelajari. Kita akan membahas cara mengekspresikan emosi dengan sehat, sehingga kamu bisa lebih nyaman dalam menghadapi situasi seperti ini. Kamu pernah mendengar tentang komunikasi asertif?",
Tidak ada yang menakutkan. Kadang dia hanya mengajak saya berbicara atau menanyakan perasaan saya.,pembahasan,Kamu pernah merasa bahwa sosok ini mengganggu atau mengontrol tindakanmu?,
"Iya, aku merasa lebih lega setelah bicara ini. Terima kasih, Kak",penutupan,"Iya, aku merasa lebih lega setelah bicara ini. Terima kasih, Kak",
"Iya, itu benar. Saya memang menikmati perkuliahan, walaupun saya masih beradaptasi.",pembahasan,"Saya ingin memberikanmu beberapa teknik yang mungkin bisa membantu, terutama dalam mengatur waktu agar kamu tidak merasa terlalu terbebani. Tips Time Management 
Gunakan teknik Pomodoro – belajar selama 25 menit, lalu istirahat 5 menit untuk menghindari kelelahan. 
Buat to-do list sederhana – catat tugas yang harus diselesaikan dan prioritaskan yang paling penting. 
Cicil tugas sedikit demi sedikit – hindari menunda pekerjaan agar tidak menumpuk di akhir. 
Gunakan jurnal atau aplikasi pengingat – untuk membantu mengorganisir jadwal harian. 
Saya juga ingin mengajakmu mencoba teknik relaksasi 4-7-8 untuk mengurangi stres dan kecemasan. Bisa kita coba bersama?",
"Ayah saya pernah bilang bahwa saya ini aneh, bahwa saya merasakan hal yang tidak wajar.",pembahasan,"Saya memahami bahwa ayahmu mungkin tidak mengerti apa yang kamu alami. Tapi saya ingin menegaskan bahwa perasaanmu bukanlah sesuatu yang aneh atau salah. Banyak orang mengalami kesulitan dalam hubungan sosial, dan tidak apa-apa untuk membicarakan ini. Kamu sempat menyebutkan bahwa ada saat-saat di mana kamu berpikir untuk mengakhiri hidupmu. Bisa ceritakan lebih lanjut kapan biasanya pikiran itu muncul?",
"Iya, saya merasa lebih nyaman sendiri karena tidak ada tuntutan untuk selalu merespons seseorang. Tapi di sisi lain, saya merasa kehilangan. Saya juga merasa bersalah karena mungkin sikap saya yang membuat dia ingin break.",relaksasi,Itu perasaan yang wajar. Hubungan yang sudah berlangsung lama tentu memiliki banyak emosi yang terlibat. Apakah ada hal yang menurutmu bisa membantu kamu lebih memahami apa yang benar-benar kamu inginkan?,Menyatakan Perasaan Sedih dan Kehilangan
"Belum… aku takut kalau aku ngomong, dia malah tersinggung dan jadi nggak mau temenan sama aku lagi.",pembahasan,Jadi kamu merasa ada risiko kehilangan pertemanan jika kamu mencoba mengungkapkan perasaanmu?,
Itu masuk akal. Saya memang sering merasa seperti membeku saat dimarahi.,solusi,"Itu sangat wajar. Saya juga ingin mengajarkan teknik relaksasi pernapasan dan grounding, yang bisa membantumu merasa lebih tenang saat merasa cemas atau stres. Kita akan mencobanya bersama sekarang."" 

📌 Teknik relaksasi Pernapasan & Grounding: 

Tarik napas dalam selama 4 detik, tahan selama 4 detik, lalu hembuskan perlahan selama 6 detik. 

Gunakan teknik 5-4-3-2-1 untuk grounding: 

5 hal yang bisa kamu lihat. 

4 hal yang bisa kamu sentuh. 

3 hal yang bisa kamu dengar. 

2 hal yang bisa kamu cium aromanya. 

1 hal yang bisa kamu rasakan di tubuhmu. 

""Teknik ini bisa membantumu kembali ke momen sekarang dan mengurangi kecemasan.",Menyatakan Perasaan Sedih dan Kehilangan
"Halo Kak, hari ini aku merasa sedikit lebih baik, tapi tetap masih ada rasa cemas dengan kuliah",pembahasan,"Saya senang mendengar kalau kamu merasa lebih baik. Kita akan membahas beberapa hal hari ini, ya. Sebelumnya, bagaimana perkembanganmu sejak pertemuan terakhir?",
Nggak… Aku takut kalau mereka nggak mau ngobrol balik atau malah cuek.,pembahasan,"Aku bisa memahami kalau memulai percakapan bisa terasa sulit dan menegangkan. Tapi bagaimana kalau kita coba langkah kecil dulu? Misalnya, selama satu minggu ke depan, kamu bisa coba menyapa satu atau dua teman di kelasmu. Tidak perlu percakapan panjang, cukup sapaan sederhana seperti 'Hai' atau 'Pagi'.",
Halo,pembukaan,"Halo GB, selamat datang kembali. Saya senang kamu memutuskan untuk datang untuk sesi lanjutan ini. Bagaimana perasaanmu hari ini?",
"Saya merasa malu dan salah. Saya tahu guru saya tidak bermaksud jahat, tapi setelah itu, saya selalu takut berbicara di depan orang lain karena khawatir salah bicara lagi.",pembahasan,Apa yang kamu rasakan saat harus berbicara di depan kelas sekarang?,
Ayah aku… dia masuk penjara bulan ini karena kasus di kantornya. Itu juga bikin aku makin kepikiran.,pembahasan,Aku turut prihatin mendengar itu. Kamu merasa ini juga menambah beban yang kamu rasakan?,
"Sejauh ini cukup membantu, tapi aku masih ingin tahu apakah ada cara lain yang bisa lebih efektif.",pembahasan,"Bagus, kita bisa eksplorasi lebih jauh. Tapi sebelum itu, aku ingin tahu lebih lanjut tentang masalah lain yang kamu sebutkan tadi, seperti kesulitan berteman. Kamu bilang bahwa kamu merasa sulit berteman. Apa yang membuatmu merasa demikian?",
Itu mungkin bisa membantu. Saya akan mencobanya.,solusi,Saya juga ingin membahas sesuatu yang terjadi baru-baru ini. Saya mendengar bahwa kamu sempat mendorong dan memukul temanmu. Bisa ceritakan apa yang terjadi saat itu?,Menyatakan Perasaan Sedih dan Kehilangan
Itu terdengar lebih terarah… Aku bisa coba itu!,pembahasan,"Bagus. Selain itu, aku juga menyarankan agar kamu lebih terbuka dengan teman-teman dekatmu. Kamu bilang kamu punya teman-teman di jurusan yang mendukungmu, kan?",
Saya mengerti. Saya akan coba perlahan.,solusi,"Saya juga ingin membahas tentang bagaimana kamu bisa berdamai dengan perasaanmu terhadap Abang tersebut. Memaafkan bukan berarti membenarkan perbuatannya, tapi lebih kepada membebaskan diri dari rasa sakit yang terus membebani kamu.",Menyatakan Perasaan Sedih dan Kehilangan
Saya biasanya hanya diam dan memendam perasaan saya. Saya tidak ingin marah karena takut dianggap anak yang durhaka.,pembahasan,Saya bisa memahami perasaanmu. Kamu merasa terjebak antara harus menuruti harapan keluargamu dan keinginanmu sendiri. Bagaimana perasaanmu saat ini tentang hubunganmu dengan mereka?,
"Wah, aku jadi lebih tenang… Aku bakal coba latihan ini kalau panik lagi.",relaksasi,"Bagus! Kamu bisa lakukan ini kapan saja, terutama saat merasa tertekan atau overthinking.",Menyatakan Perasaan Sedih dan Kehilangan
"Baiklah, saya akan coba menuliskannya",solusi,"Sebelumnya, kamu sempat bercerita tentang hubunganmu dengan keluargamu, terutama dengan ibumu. Bagaimana kondisi di rumah saat ini?",Menyatakan Perasaan Sedih dan Kehilangan
"Terima kasih juga, Kak. Aku merasa lebih lega setelah membicarakannya. Aku akan coba mulai menulis jurnal dan lebih terbuka dengan teman-temanku.",penutupan,"Itu langkah yang sangat baik. Kita bisa bertemu lagi dalam sesi berikutnya untuk melihat perkembangannya, dan jika kamu butuh sesuatu sebelum pertemuan berikutnya, jangan ragu untuk menghubungiku",
"Aku akan coba lebih aktif berbicara, Kak.",solusi,"Saya juga ingin kamu mencoba sesuatu. Mulai sekarang, cobalah melakukan sesuatu yang kamu suka setiap minggu. Ini akan membantumu merasa lebih positif ketika kembali ke kampus.",Menyatakan Perasaan Sedih dan Kehilangan
"Iya, Kak… Makanya aku sering diem aja, aku lebih milih nggak cerita lagi ke mama soal perasaanku.",pembahasan,Aku paham… Menyimpan perasaan itu sendiri pasti terasa berat. Apa kamu pernah mencoba menyalurkan perasaanmu dengan cara lain?,
"Ia kaget… Dia menangis dan meminta maaf, bahkan akhirnya setuju untuk membiarkan aku mencari bantuan psikolog. Tapi aku tetap takut kalau semuanya akan kembali seperti dulu.",intervensi,"Aku mengerti. Sepertinya kamu mengalami banyak tekanan dan ini berdampak pada bagaimana kamu berfungsi sehari-hari. Kamu sudah berusaha bertahan dalam situasi sulit ini, dan aku ingin mengapresiasi keberanianmu untuk mencari bantuan.",
"Aku merasa ibu tidak pernah memahami aku. Misalnya, waktu aku minta dijemput karena capek kuliah, ibu tetap nyuruh aku pulang naik ojek sendiri. Aku tahu ini mungkin sepele, tapi rasanya kayak aku harus selalu mandiri dan nggak boleh mengeluh. Selain itu, pernah juga saat ada diskusi keluarga tentang liburan, aku ingin ke Taman Safari karena belum pernah lihat binatang secara langsung. Tapi ibu bersikeras memilih Dufan dengan alasan ‘aku dulu pernah bilang ingin ke Dufan’. Aku mencoba menjelaskan, tapi malah ibu diam dan mendiamkan aku selama empat hari.",solusi,Bagaimana perasaanmu saat ibumu melakukan itu?,Menyatakan Perasaan Sedih dan Kehilangan
"Saya sebenarnya bukan hanya bingung tentang beasiswa ini, Kak, tapi juga merasa bersalah. Saya belum memberi tahu ibu saya soal beasiswa yang akan dihentikan, dan saya takut mengecewakan beliau.",pembahasan,Saya memahami bahwa ini adalah hal yang sulit untuk disampaikan. Apa yang membuatmu merasa sulit untuk memberitahukan hal ini kepada ibumu?,
"Oke, saya akan coba.",solusi,"Saya juga ingin kamu membuat tulisan tentang tiga hingga lima masalah utama dalam hidupmu. Tuliskan apa masalahnya, bagaimana konteksnya, apa yang kamu rasakan, apa yang kamu pikirkan, dan apa harapanmu terhadap masalah tersebut.",Menyatakan Perasaan Sedih dan Kehilangan
Kayaknya bisa dicoba… tapi aku takut kalau mereka nggak nerima aku.,solusi,"Itu wajar. Tapi kalau kamu tidak mencoba, kamu nggak akan tahu bagaimana mereka merespons. Kamu bisa mulai dengan satu atau dua orang yang terlihat lebih ramah dulu.",Menyatakan Perasaan Sedih dan Kehilangan
"Iya… Aku akan coba, Kak. Terima kasih sudah mendengarkan aku.",penutupan,"Sama-sama. Aku bangga kamu sudah berani berbicara tentang ini. Kita akan bertemu lagi untuk melihat bagaimana perkembanganmu. Kalau kamu butuh sesuatu sebelum sesi berikutnya, kamu bisa menghubungiku, ya.",
Rasanya lebih enak… Kayaknya aku bisa coba ini kalau sedang cemas.,relaksasi,"Bagus! Kita juga bisa mulai menerapkan self-control dalam pikiranmu. Misalnya, ketika merasa takut atau cemas, coba tanyakan pada diri sendiri: 

Apakah ketakutanku ini berdasarkan fakta atau hanya perasaan saja? 

Apa hal kecil yang bisa aku lakukan sekarang untuk menenangkan diri? 

Apakah aku benar-benar harus menyalahkan diriku atas semua ini? 

Cara ini bisa membantumu memisahkan kecemasan dari realita, sehingga kamu tidak merasa terus-menerus dihantui oleh rasa bersalah atau takut.",Menyatakan Perasaan Sedih dan Kehilangan
"Baik, Kak. Mungkin aku bisa mulai melukis atau jalan-jalan sebentar untuk mengurangi stres.",pembahasan,Saya juga ingin kamu mencoba journaling seminggu sekali. Tuliskan semua pengalaman positif yang kamu alami dalam seminggu. Ini akan membantumu lebih fokus pada hal-hal baik dalam hidupmu.,
Aku akan coba memikirkannya... Tapi aku masih merasa sulit untuk benar-benar mengubah cara pandangku.,solusi,"Tidak apa-apa. Perubahan tidak harus terjadi dalam semalam. Yang penting, kamu mulai menyadari bahwa ada cara lain untuk melihat situasi ini.",Menyatakan Perasaan Sedih dan Kehilangan
Pernah… Aku bilang ke mama kalau aku juga butuh perhatian. Tapi dia bilang aku jangan banyak permintaan.,pembahasan,"Kata-kata itu terasa menyakitkan untukmu, ya?",
"Iya… Aku akan coba, Kak. Terima kasih sudah mendengarkan aku.",penutupan,"Sama-sama. Aku bangga kamu sudah berani berbicara tentang ini. Kita akan bertemu lagi untuk melihat bagaimana perkembanganmu. Kalau kamu butuh sesuatu sebelum sesi berikutnya, kamu bisa menghubungiku, ya",
"Saya coba, tapi masih agak sulit fokus.",solusi,"Tidak masalah, ini butuh latihan. Kamu bisa mencobanya setiap kali merasa cemas atau tegang.",Menyatakan Perasaan Sedih dan Kehilangan
"Saya masih sering merasa tidak percaya diri dan masih mengalami konflik antara pikiran dan perasaan saya. Tapi, saya mencoba untuk lebih menyadari ketika pikiran buruk muncul.",solusi,Itu sudah merupakan langkah yang baik. Saya menghargai usaha yang telah kamu lakukan untuk mengenali pikiran dan perasaanmu. Apakah ada situasi tertentu yang membuatmu merasa lebih sulit?,Menyatakan Perasaan Sedih dan Kehilangan
Iya… Awalnya aku nggak niat jadi ketua. Nama aku cuma dicantumin biar ada pilihan lebih dari satu. Tapi tiba-tiba aku malah yang kepilih,pembahasan,Bagaimana perasaanmu saat itu?,
"Terima kasih, Kak. Aku akan coba semuanya, semoga bisa lebih baik.",penutupan,"Aku yakin kamu bisa! Kita akan lanjutkan sesi berikutnya untuk membahas bagaimana perkembanganmu. Jika kamu butuh sesuatu sebelum pertemuan berikutnya, jangan ragu untuk menghubungiku, ya",
"Aku mau coba, tapi gimana caranya?",solusi,"Kita bisa mulai dengan membuat to-do list harian atau jadwal belajar yang lebih terstruktur, supaya kamu nggak merasa kewalahan. Kita juga bisa mencari metode belajar yang lebih interaktif, misalnya dengan diskusi kelompok atau membuat ringkasan materi sendiri.",Menyatakan Perasaan Sedih dan Kehilangan
Itu bisa dicoba. Saya ingin punya teman yang bisa mengerti saya.,solusi,Saya yakin kamu bisa menemukan lingkungan yang mendukungmu. Langkah kecil ini bisa membantu membangun rasa percaya dirimu,Menyatakan Perasaan Sedih dan Kehilangan
"Wow… aku jadi lebih tenang, Kak.",relaksasi,"Bagus! Latihan ini bisa kamu lakukan setiap kali merasa stres atau pikiranmu mulai kacau. Semakin sering kamu berlatih, semakin kamu bisa mengendalikan emosimu.",Menyatakan Perasaan Sedih dan Kehilangan
"Maksudnya gimana, Kak?",pembahasan,"Kita bisa coba beberapa langkah berikut: 1. Teknik relaksasi pernapasan saat merasa panik atau overthinking. Aku bisa ajarkan cara bernapas yang bisa membantu menenangkan tubuhmu. 
2. Membatasi jumlah tanggung jawab – Kamu bisa memilih prioritas dan mengurangi beban yang tidak perlu. 
3. Roleplay komunikasi dengan ketua UKM – Kita bisa latihan bagaimana cara menyampaikan batasan kepada ketua UKM agar kamu tidak mendapat tugas tiba-tiba. 
4. Journaling terstruktur – Menuliskan tindakan yang ingin kamu lakukan, bagaimana melakukannya, dan konsekuensinya. Ini bisa membantumu lebih fokus dan berani mengambil keputusan.",
"Terima kasih, Kak",pembahasan,"Karena kamu menyebutkan bahwa kamu merasa sulit memiliki teman, apakah kamu ingin kita bersama-sama mencari strategi untuk membangun hubungan sosial yang lebih baik?",
Halo,pembukaan,"Halo NJ, senang bisa bertemu denganmu lagi. Bagaimana perasaanmu hari ini?",
"Iya… Dulu aku merasa gagal terus di mata ayah. Ada masa di mana aku melakukan banyak hal yang dia tidak setujui, dan itu membuat hubungan kami memburuk. Aku tahu sebagai anak pertama aku harus jadi contoh, harus bisa memenuhi ekspektasi keluarga. Apalagi ayah praktisi hukum, jadi dia ingin aku serius di bidang ini.",intervensi,Apakah memilih jurusan hukum ini lebih karena harapan ayah atau memang kamu juga menginginkannya?,
"Iya, saya memang sering mengalami masalah pencernaan sejak SMP. Saya pernah terkena TB usus, dan saya juga sering kambuh maag serta asam lambung. Terakhir kali kambuh saat ospek kemarin, mungkin karena kelelahan dan pola makan yang tidak teratur.",pembahasan,Itu pasti sangat tidak nyaman untukmu. Apakah kamu sudah mendapatkan perawatan medis untuk kondisi ini?,
Halo,pembukaan,"Halo DNS, terima kasih sudah datang ke sesi konseling ini. Saya ingin memastikan bahwa ini adalah ruang yang aman untukmu dan saya di sini untuk mendengarkan serta membantumu. Bagaimana perasaanmu hari ini?",
