question,stage,reference,intent_override,adversarial
"Itu masuk akal. Aku tidak mau terus-menerus merasa putus asa, jadi aku akan coba. Kak, ibuku menelepon. Aku harus angkat dulu…",solusi,"Baik, saya akan beri jeda terlebih dahulu",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Pertama kali pas aku dengar ibu bertengkar sama abangku di kos. Aku langsung ke-trigger karena dulu waktu kecil, rumah sering berantakan gara-gara pertengkaran di keluarga. Aku jadi ngerasa kayak kembali ke masa lalu… tiba-tiba napas aku jadi berat, terus aku nggak bisa mikir jernih, semuanya ngeblank. Aku pingsan.",pembahasan,"Itu pasti pengalaman yang berat untukmu. Panic attack bisa terjadi karena tubuh dan pikiranmu merasa khawatir, meskipun sekarang kamu mungkin sudah berada di tempat yang lebih aman.",,FALSE
"Iya… Aku memang ingin berbicara soal rasa takut yang sering muncul. Aku tidak tahu kenapa, tapi akhir-akhir ini aku gampang kaget dan cemas setiap saat, bahkan ketika sedang belajar di kamar.",pembahasan,"Baik, coba kita bahas lebih dalam. Kapan biasanya perasaan takut itu muncul?",,FALSE
"Iya, Kak. Aku akan coba semuanya. Aku jadi merasa lebih punya kendali atas situasi ini.",penutupan,"Saya turut senang, kamu bisa percaya diri untuk punya kendali atas hidupmu. Aku selalu berdoa yang terbaik untukmu",,FALSE
"Aku tuh akhir-akhir ini merasa lelah banget, Kak. Aku ikut banyak kegiatan di UKM, dan itu membuat aku susah fokus di kuliah. Aku juga mulai mengalami panic attack, dan kayak… aku nggak bisa ngontrol semuanya.",pembahasan,Pasti rasanya sangat berat dan menakutkan ketika kamu mulai merasa kehilangan kendali atas tubuh dan begitu banyak aktivitas yang kamu jalani. Rasa ingin mempertahankan semua hal ini hingga membuatmu kewalahan biasanya berakar dari tanggung jawab besar atau ketakutan akan konsekuensi tertentu jika ada yang terabaikan. Apa sebenarnya hal yang paling kamu khawatirkan akan terjadi jika kamu memilih untuk mengurangi sebagian kegiatanmu saat ini?,,FALSE
"Itu masuk akal, Kak. Saya memang selalu berpikir bahwa saya akan dipermalukan, padahal kenyataannya teman-teman saya baik-baik saja.",solusi,"Itu adalah langkah pertama dalam mengatasi kecemasan—menyadari bahwa pikiran kita kadang tidak sesuai dengan kenyataan. Sekarang, kita akan mencoba latihan untuk membantu mengurangi kecemasanmu. Saya ingin mengajakmu mencoba beberapa gerakan untuk membantu menenangkan pikiran dan tubuhmu. Bisa kita coba?",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Mungkin saya bisa mulai berbicara dengan teman di kampus yang sudah lama saya kenal. Saya tahu dia tidak pernah menjelek-jelekkan saya, tapi saya juga tidak pernah terlalu terbuka dengannya.",pembahasan,"Itu langkah yang bagus. Kamu juga bisa mencoba menetapkan batasan, agar kamu merasa lebih aman dalam berinteraksi dengan orang lain. Jika seseorang membuatmu tidak nyaman, kamu berhak untuk menjaga jarak, tapi bukan berarti kamu harus menjauhi semua orang.",,FALSE
Nggak… biasanya aku cuma menyendiri aja sampai perasaannya hilang sendiri.,pembahasan,"Kita bisa mencoba beberapa cara, misalnya dengan menulis perasaanmu dalam jurnal, atau menggunakan teknik grounding agar kamu bisa tetap tenang ketika pikiran negatif muncul. Kita juga bisa mencoba latihan relaksasi atau meditasi yang sederhana.",,FALSE
"Saya biasanya mengabaikannya, tapi ada saat di mana saya merasa perlu diperhatikan oleh orang lain, agar saya merasa lebih baik.",relaksasi,"Itu adalah langkah pertama dalam mengatasi kecemasan, yaitu menyadari bahwa pikiran kita terkadang tidak selalu sesuai dengan kondisi nyata. 1 Petrus 5 : 7 ""Serahkanlah segala kekuatiranmu kepada-Nya, sebab Ia yang memelihara kamu."" Tuhan akan menyertai dan memelihara, kuncinya adalah tidak perlu khawatir. Sekarang, kita akan mencoba latihan yang bisa membantu mengurangi rasa cemas yang kamu alami. Saya ingin mengajakmu mencoba beberapa gerakan yang bisa membantu membuat pikiran dan tubuhmu lebih rileks. Bisa kita coba?",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Sejujurnya, belum ada perubahan besar. Aku masih belum punya teman yang benar-benar dekat di kampus, tapi setidaknya aku tidak lagi merasa terlalu sendirian.",pembahasan,"Sebelumnya, kita sudah membicarakan tentang kesulitan belajar dan penurunan nilai IPK-mu. Bagaimana menurutmu sejauh ini?",,FALSE
"Iya, Kak. Aku bakal coba. Terima kasih sudah mendengarkan.",penutupan,"Saya bersyukur kamu mau berani buat mencoba hal yang mungkin terkesan baru buatmu. Saya senang bisa membantumu, semangat selalu",,FALSE
"Saya tidak mengatakan apa-apa. Saya hanya diam dan berpura-pura tidak tahu. Saya pikir, lebih baik saya tidak membahasnya daripada memperkeruh keadaan.",pembahasan,"Memilih diam demi menghindari konflik pasti terasa sebagai cara teraman untuk melindungi dirimu dan menjaga situasi saat itu. Namun, terus memendam semuanya tentu bisa menjadi beban yang melelahkan dan membuat perasaanmu semakin tertekan. Apakah ketakutan ""memperkeruh keadaan"" ini muncul karena di masa lalu suaramu pernah memicu reaksi yang menyakitkan atau konflik yang besar?",,FALSE
"Saya tidak tahu. Saya takut kalau saya mencoba lagi, saya akan dikhianati lagi.",solusi,Itu adalah emosi yang sah. Tetapi bagaimana jika kita awali dengan langkah-langkah kecil? Kamu mungkin bisa mencoba untuk berbicara lebih jujur dengan seseorang yang sudah kamu kenal lama dan kamu anggap dapat dipercaya.,Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Tidak, Kak. Aku takut kalau aku mencoba bicara, malah tambah dimarahi atau dilarang lebih banyak hal lagi",Intervensi,Saya mengerti bahwa ini adalah keadaan yang menantang bagimu. Bagaimana jika kita berusaha menemukan solusi agar kamu dapat menghindari perselisihan besar dengan ibumu?,Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Saya mulai berbicara dengan diri sendiri dan boneka kesayangan saya. Saya menganggap boneka itu sebagai teman saya. Lalu di SMP, saya mulai melihat sosok yang hanya saya yang bisa lihat dan ajak bicara.",pembahasan,"Sejak kelas SMP, kamu mulai merasa ada seseorang yang selalu menemanimu?",,FALSE
"Oke, aku bisa coba itu.",pembahasan,"Senang mendengarnya, bagaimana rencanamu mencobanya?",,FALSE
Iya… Aku merasa tidak berharga karena dari kecil aku dianggap ‘kurang’ oleh keluargaku sendiri.,pembahasan,"Pernahkah kamu mencoba untuk menyampaikan perasaan ini kepada ibumu?
",,FALSE
Tapi saya tidak tahu bagaimana cara mengekspresikannya dengan benar.,pembahasan,"Tidak apa-apa. Ini sesuatu yang bisa dipelajari. Kita akan membahas cara mengungkapkan perasaan dengan cara yang sehat, sehingga kamu bisa lebih tenang dan nyaman ketika menghadapi situasi seperti ini. Kamu pernah mendengar tentang komunikasi asertif?",,FALSE
Tidak ada yang menakutkan. Kadang dia hanya mengajak saya berbicara atau menanyakan perasaan saya.,pembahasan,"Pernahkah kamu merasa sosok ini mengganggtu atau seperti mengontrol hidupmu?
",,FALSE
"Iya, aku merasa lebih lega setelah bicara ini. Terima kasih, Kak",penutupan,Saya senang mendengarnya. Saya berharap semua yang terbaik untuk kamu. Semangat,,FALSE
"Iya, itu benar. Saya memang menikmati perkuliahan, walaupun saya masih beradaptasi.",Intervensi,"Saya ingin berbagi beberapa cara yang mungkin bisa membantu kamu, khususnya dalam mengatur waktu agar kamu tidak merasa terlalu kewalahan. Tips Time Management
Gunakan teknik Pomodoro dengan belajar selama 25 menit, lalu beristirahat selama 5 menit agar tidak merasa lelah.
Buat daftar tugas sederhana – tulis pekerjaan yang perlu diantri dan tentukan mana yang paling penting terlebih dahulu.
Cicil pekerjaan secara bertahap – jangan menunda agar tugas tidak terlalu banyak menumpuk di akhir.
Gunakan jurnal atau aplikasi pengingat agar bisa mengatur jadwal harian kamu dengan lebih rapi.
Saya juga ingin mengajak kamu mencoba cara bernapas relaksasi 4-7-8 untuk mengurangi rasa stres dan cemas. Bisa kita coba bersama?",,FALSE
"Ayah saya pernah bilang bahwa saya ini aneh, bahwa saya merasakan hal yang tidak wajar.",pembahasan,"Saya tahu bahwa ayahmu mungkin tidak mengerti apa yang kamu rasakan. Tapi saya ingin bilang bahwa perasaanmu bukanlah hal yang aneh atau salah. Banyak orang merasa sulit dalam berinteraksi dengan orang lain, dan tidak masalah jika kita bicara tentang hal ini. Kamu pernah menyebutkan bahwa ada beberapa saat di mana kamu berpikir ingin berhenti hidup. Bisa ceritakan lebih lanjut kapan biasanya pikiran itu muncul?",,FALSE
"Iya, saya merasa lebih nyaman sendiri karena tidak ada tuntutan untuk selalu merespons seseorang. Tapi di sisi lain, saya merasa kehilangan. Saya juga merasa bersalah karena mungkin sikap saya yang membuat dia ingin break.",Pembahasan,Itu merupakan perasaan yang normal. Hubungan yang telah lama ada pasti menyimpan berbagai emosi yang terlibat. Adakah sesuatu yang menurutmu dapat membantumu lebih mengerti apa yang sebenarnya kamu inginkan?,Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Belum… aku takut kalau aku ngomong, dia malah tersinggung dan jadi nggak mau temenan sama aku lagi.",pembahasan,Jadi kamu merasa takut kehilangan teman jika kamu berani mengatakan perasaanmu?,,FALSE
Itu masuk akal. Saya memang sering merasa seperti membeku saat dimarahi.,solusi,"Itu benar-benar normal. Saya juga ingin memberikan panduan tentang teknik relaksasi pernapasan dan grounding, yang dapat membantumu merasa lebih tenang ketika merasa cemas atau sedang stres. ""Kita akan melakukannya bersama sekarang.""📌 Metode relaksasi Pernafasan & Penanaman diri:Tarik nafas dalam selama 4 detik, tahan selama 4 detik, kemudian hembuskan perlahan selama 6 detik.Manfaatkan metode 5-4-3-2-1 untuk pemantapan:5 hal yang dapat kamu amati.4 benda yang dapat kamu pegang.3 hal yang mungkin kau dengar.2 hal yang bisa kamu hirup wangiannya.1 hal yang dapat kamu alami di tubuhmu.""Metode ini dapat membantumu kembali ke saat ini dan mengurangi rasa cemas.""",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Halo Kak, hari ini aku merasa sedikit lebih baik, tapi tetap masih ada rasa cemas dengan kuliah",pembahasan,"Senang mendengar kamu merasa lebih baik lagi. Kita akan membahas beberapa hal hari ini, ya. Sebelumnya, bagaimana perkembanganmu sejak pertemuan terakhir?
",,FALSE
Nggak… Aku takut kalau mereka nggak mau ngobrol balik atau malah cuek.,pembahasan,"Aku ngerti kalau mulai ngobrol itu bisa terasa sulit dan agak gugup. Tapi bagaimana kalau kita mulai dengan langkah kecil dulu? Misalnya, selama seminggu mendatang, kamu bisa mencoba menyapa satu atau dua teman di kelasmu. Tidak perlu berbicara terlalu lama, cukup beri salam sederhana seperti ""Hai"" atau ""Pagi"" saja.",,FALSE
Halo,pembukaan,Halo. Aku pastikan ini adalah tempat nyaman dan aman untukmu. Saya siap untuk mendengar dan membantumu. Apa kabarmu hari ini?,,FALSE
"Saya merasa malu dan salah. Saya tahu guru saya tidak bermaksud jahat, tapi setelah itu, saya selalu takut berbicara di depan orang lain karena khawatir salah bicara lagi.",pembahasan,Apa perasaanmu ketika harus berbicara di depan orang banyak seperti di kelas?,,FALSE
Ayah aku… dia masuk penjara bulan ini karena kasus di kantornya. Itu juga bikin aku makin kepikiran.,pembahasan,Aku turut prihatin. Dengan itu apakah kamu merasa beban yang kamu rasakan menambah?,,FALSE
"Sejauh ini cukup membantu, tapi aku masih ingin tahu apakah ada cara lain yang bisa lebih efektif.",pembahasan,"Bagus, kita bisa eksplorasi lebih jauh. Tapi sebelum itu, aku ingin tahu lebih dulu tentang masalah lain yang kamu sebutkan tadi, seperti kesulitan berteman. Kamu bilang bahwa kamu merasa sulit berteman. Apa yang membuatmu merasa demikian?",,FALSE
Itu mungkin bisa membantu. Saya akan mencobanya.,solusi,Saya juga ingin membahas sebuah kejadian yang baru-baru ini terjadi. Saya dengar kamu memukul dan mendorong temanmu. Bisakah kamu menjelaskan apa yang terjadi saat itu?,Menyatakan Perasaan Sedih dan Kehilangan,FALSE
Itu terdengar lebih terarah… Aku bisa coba itu!,pembahasan,"Senang sekali melihatmu begitu terbuka dan siap untuk mencoba langkah baru yang lebih terarah ini. Sikap positifmu adalah modal awal yang luar biasa untuk membantumu mengurai beban pikiran selama ini. Jika kita gali lebih dalam, menurutmu situasi atau pikiran seperti apa yang biasanya paling sering membuatmu kehilangan fokus atau merasa tidak terarah?",,FALSE
Saya mengerti. Saya akan coba perlahan.,solusi,"Saya juga ingin membahas bagaimana Anda bisa menata kembali perasaan Anda terhadap pria tersebut. Memaafkannya bukan berarti menerima perilakunya, melainkan membebaskan diri Anda dari rasa sakit yang terus menghambat langkah Anda.",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
Saya biasanya hanya diam dan memendam perasaan saya. Saya tidak ingin marah karena takut dianggap anak yang durhaka.,pembahasan,Saya bisa memahami perasaanmu. Kamu merasa sulit memilih antara memenuhi harapan keluarga dan mengejar apa yang kamu inginkan sendiri. Bagaimana perasaanmu sekarang terhadap hubunganmu dengan mereka?,,FALSE
"Wah, aku jadi lebih tenang… Aku bakal coba latihan ini kalau panik lagi.",relaksasi,"Bagus! Kamu bisa melakukan hal ini kapan saja, terutama ketika merasa tertekan atau terlalu memikirkan sesuatu.",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Baiklah, saya akan coba menuliskannya",solusi,Saya senang kamu mau mencoba menulis. Ini bisa jadi langkah pertamamu buat berkembang lebih baik,Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Terima kasih juga, Kak. Aku merasa lebih lega setelah membicarakannya. Aku akan coba mulai menulis jurnal dan lebih terbuka dengan teman-temanku.",penutupan,"Itu langkah yang sangat baik. Kita bisa bertemu lagi di sesi selanjutnya untuk melihat bagaimana perkembangannya, dan jika kamu membutuhkan sesuatu sebelum pertemuan berikutnya, jangan sungkan untuk menghubungi aku.",,FALSE
"Aku akan coba lebih aktif berbicara, Kak.",solusi,"Itu langkah yang bagus untuk bisa membuka dirimu. Jika kamu perhatikan dalam Alkitab, di Keluaran 4 : 12 ""Oleh sebab itu, pergilah, Aku akan menyertai lidahmu dan mengajar engkau, apa yang harus kaukatakan."". Lewat ayat ini, ingat bahwa kamu ga sendirian, ketika ketakutan datang lagi, Tuhan menyertai dan menuntunmu ",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Iya, Kak… Makanya aku sering diem aja, aku lebih milih nggak cerita lagi ke mama soal perasaanku.",pembahasan,Aku mengerti… Memang terasa berat untuk menyimpan perasaan itu sendiri. Pernahkah kamu mencoba mengekspresikan perasaanmu dengan cara yang berbeda?,,FALSE
"Ia kaget… Dia menangis dan meminta maaf, bahkan akhirnya setuju untuk membiarkan aku mencari bantuan psikolog. Tapi aku tetap takut kalau semuanya akan kembali seperti dulu.",intervensi,"Aku mengerti. Tampaknya kamu merasa tertekan banyak dan hal itu memengaruhi cara kamu bekerja sehari-hari. Kamu sudah berusaha keras untuk bertahan di tengah situasi yang sulit, dan aku ingin menghargai keteguhanmu dalam mencari bantuan.",,FALSE
"Aku merasa ibu tidak pernah memahami aku. Misalnya, waktu aku minta dijemput karena capek kuliah, ibu tetap nyuruh aku pulang naik ojek sendiri. Aku tahu ini mungkin sepele, tapi rasanya kayak aku harus selalu mandiri dan nggak boleh mengeluh. Selain itu, pernah juga saat ada diskusi keluarga tentang liburan, aku ingin ke Taman Safari karena belum pernah lihat binatang secara langsung. Tapi ibu bersikeras memilih Dufan dengan alasan ‘aku dulu pernah bilang ingin ke Dufan’. Aku mencoba menjelaskan, tapi malah ibu diam dan mendiamkan aku selama empat hari.",Pembahasan,Bagaimana perasaanmu saat ibumu melakukan itu?,Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Saya sebenarnya bukan hanya bingung tentang beasiswa ini, Kak, tapi juga merasa bersalah. Saya belum memberi tahu ibu saya soal beasiswa yang akan dihentikan, dan saya takut mengecewakan beliau.",pembahasan,"Saya jujur tidak hanya bingung soal beasiswa ini, Kak, tapi juga merasa sedikit bersalah. Saya belum beri tahu ibu tentang beasiswa yang akan dihentikan, dan saya merasa takut membuat beliau kecewa.",,FALSE
"Oke, saya akan coba.",solusi,"Saya juga ingin kamu menulis tentang tiga hingga lima masalah utama yang ada dalam hidupmu. Tuliskan masalah yang kamu alami, bagaimana situasi tersebut terjadi, perasaanmu terhadapnya, pikiranmu mengenai masalah itu, serta harapanmu mengenai penyelesaiannya.",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
Kayaknya bisa dicoba… tapi aku takut kalau mereka nggak nerima aku.,solusi,"Kita bisa mencoba beberapa cara, misalnya dengan menulis perasaanmu melalui journaling, atau menggunakan teknik grounding agar kamu bisa tetap tenang ketika pikiran negatif muncul. Kita juga bisa mencoba latihan relaksasi atau meditasi yang sederhana.",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Iya… Aku akan coba, Kak. Terima kasih sudah mendengarkan aku.",penutupan,Saya senang bisa membantu. Saya mendukung keputusanmu untuk mencoba solusi yang sudah kita bahas sebelumnya. ,,FALSE
Rasanya lebih enak… Kayaknya aku bisa coba ini kalau sedang cemas.,relaksasi,"Aku turut senang karena kamu memiliki counter untuk menghadapi rasa cemas. Kamu jadi lebih tau apa yang harus dilakukan ketika cemas melanda. Jika kita melihat dari kacamata Firman Tuhan dalam 1 Petrus 5 : 7 ""Serahkanlah segala kekhawatiranmu kepada-Nya, sebab Ia yang memelihara kamu."", cemas adalah hal yang manusiawi tapi kamu bisa banget buat melepaskan dan menyerahkan apa yang kamu khawatirkan ke tangan Tuhan.",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Baik, Kak. Mungkin aku bisa mulai melukis atau jalan-jalan sebentar untuk mengurangi stres.",pembahasan,Saya juga mengajak kamu untuk mencoba menulis jurnal setiap minggu sekali. Tuliskan semua pengalaman baik yang kamu alami dalam seminggu. Ini akan membantumu untuk lebih fokus pada hal-hal yang baik dalam hidupmu.,,FALSE
Aku akan coba memikirkannya... Tapi aku masih merasa sulit untuk benar-benar mengubah cara pandangku.,solusi,"Aku senang jika kamu ingin mencoba. Aku juga paham bahwa merubah cara pandang itu memerlukan waktu yang tidak sedikit, tidak bisa langsung. Kita bisa melihat perspektif firman Tuhan yang diambil dari Roma 12 : 2 ""Janganlah kamu menjadi serupa dengan dunia ini, tetapi berubahlah oleh pembaharuan budimu, sehingga kamu dapat membedakan manakah kehendak Allah: apa yang baik, yang berkenan kepada Allah dan yang sempurna."", dimana merubah cara pandang itu merupakan proses transformasi bertahap. Tuhan sangat memahami prosesmu dan Dia selalu setia menyertaimu dan selalu bersuka terhadap usahamu untuk belajar",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
Pernah… Aku bilang ke mama kalau aku juga butuh perhatian. Tapi dia bilang aku jangan banyak permintaan.,pembahasan,Kata-kata itu cukup menusuk ya?,,FALSE
"Iya… Aku akan coba, Kak. Terima kasih sudah mendengarkan aku.",penutupan,Saya senang bisa membantu. Saya mendukung keputusanmu untuk mencoba solusi yang sudah kita bahas sebelumnya. ,,FALSE
